step,loss,task,train_context,eval_context,depth,d_model,heads,shared,normalize_attention,share_qk,rich_mse,rich_mean_mse,rich_var_mse,rich_kappa,rich_resid_last,trainctx_mse,trainctx_mean_mse,trainctx_var_mse,trainctx_nll,trainctx_exact_nll,trainctx_coverage,trainctx_width,trainctx_exact_coverage,trainctx_exact_width,evalctx_mse,evalctx_mean_mse,evalctx_var_mse,evalctx_nll,evalctx_exact_nll,evalctx_coverage,evalctx_width,evalctx_exact_coverage,evalctx_exact_width
1,1.8389718532562256,weak_inverse,256,128,4,128,4,1,0,0,0.02584907039999962,0.0020977058447897434,0.0,3.7504210472106934,109.80813598632812,2.0682974234223366,2.055846519768238,0.930481068789959,1.9601784199476242,-0.5008269380778074,0.822265625,3.8913272619247437,0.94970703125,0.5721078589558601,2.1138105913996696,2.0811718478798866,0.9282163567841053,1.9823152422904968,-0.4772810097783804,0.8212890625,3.891782119870186,0.9482421875,0.5925630256533623
200,1.4159631729125977,weak_inverse,256,128,4,128,4,1,0,0,0.024904876947402954,0.002495597116649151,0.0,3.7658963203430176,104.63237762451172,1.0209770649671555,1.006612192839384,1.198582023382187,1.4121371731162071,-0.5277293920516968,0.95703125,4.069361627101898,0.9560546875,0.5725622326135635,1.033423364162445,1.01055346429348,1.142392247915268,1.4174613431096077,-0.4624735750257969,0.95166015625,4.011573448777199,0.9453125,0.5923226028680801
400,0.7799979448318481,weak_inverse,256,128,4,128,4,1,0,0,0.02323143556714058,0.002554286504164338,0.0,3.7215662002563477,100.37200927734375,0.33240360021591187,0.30762706976383924,0.14143042266368866,0.8493178598582745,-0.5187499411404133,0.966796875,2.4165373742580414,0.95654296875,0.5725236870348454,0.4007059149444103,0.3777041304856539,0.14327791333198547,0.9395808540284634,-0.4705959800630808,0.951171875,2.417094573378563,0.9541015625,0.592327393591404
600,0.48056212067604065,weak_inverse,256,128,4,128,4,1,0,0,0.028515996411442757,0.0021883822046220303,0.0,3.690598487854004,101.04771423339844,0.1424816409125924,0.11898673372343183,0.01981261163018644,0.4294722694903612,-0.4691867996007204,0.9599609375,1.5269988402724266,0.94287109375,0.5726068504154682,0.21880769822746515,0.19284258969128132,0.018954643863253295,0.6888313181698322,-0.43587432242929935,0.8994140625,1.519322782754898,0.94140625,0.5927964337170124
800,0.25402313470840454,weak_inverse,256,128,4,128,4,1,0,0,0.02049202099442482,0.0015892729861661792,0.0,3.698870897293091,120.43508911132812,0.12354711815714836,0.09695509914308786,0.012659024214372039,0.3532376065850258,-0.4628221858292818,0.953125,1.3714100793004036,0.9375,0.5723408572375774,0.1694526458159089,0.14640923403203487,0.012704001332167536,0.5463136322796345,-0.48814878799021244,0.90478515625,1.368456818163395,0.96435546875,0.592791959643364
1000,0.31908345222473145,weak_inverse,256,128,4,128,4,1,0,0,0.020365742966532707,0.002587844617664814,0.0,3.6494975090026855,91.13096618652344,0.1042355140671134,0.0830641002394259,0.007515032368246466,0.27221180126070976,-0.5085667949169874,0.94091796875,1.2408637404441833,0.951171875,0.5725758410990238,0.16325486823916435,0.13866637414321303,0.007335516100283712,0.5648154783993959,-0.4728459622710943,0.88623046875,1.239431880414486,0.94677734375,0.5927222222089767
1200,0.2915000915527344,weak_inverse,256,128,4,128,4,1,0,0,0.025300318375229836,0.002638147911056876,0.0,3.7403407096862793,106.1683349609375,0.10599213559180498,0.08565826807171106,0.010512384411413223,0.28207165841013193,-0.5149043127894402,0.95849609375,1.3310421779751778,0.953125,0.57272008061409,0.16091614868491888,0.13750729896128178,0.009592568560037762,0.524037366732955,-0.48200381733477116,0.90966796875,1.3173029869794846,0.9580078125,0.5924360603094101
1400,0.3164958953857422,weak_inverse,256,128,4,128,4,1,0,0,0.02518007531762123,0.003092450089752674,0.0,3.7948403358459473,105.53863525390625,0.11142867198213935,0.08536228304728866,0.012778789969161153,0.3045893618836999,-0.4806818123906851,0.9638671875,1.3995390832424164,0.94140625,0.5726438909769058,0.15623032907024026,0.13434202317148447,0.012082528206519783,0.4763140920549631,-0.4677882343530655,0.92626953125,1.388882078230381,0.951171875,0.5923988558351994
1600,0.2998652458190918,weak_inverse,256,128,4,128,4,1,0,0,0.024608181789517403,0.0031890179961919785,0.0,3.656080484390259,106.07207489013672,0.1062249019742012,0.08632132457569242,0.008596987812779844,0.28174653835594654,-0.5056409053504467,0.9482421875,1.2809231951832771,0.953125,0.5726506747305393,0.16367584699764848,0.14052334800362587,0.008480549353407696,0.5422759540379047,-0.4726607967168093,0.89306640625,1.2771913632750511,0.94970703125,0.593056570738554
1800,0.32217493653297424,weak_inverse,256,128,4,128,4,1,0,0,0.022337522357702255,0.002058989368379116,0.0,3.711824417114258,96.74935913085938,0.10627028997987509,0.09141948027536273,0.01800417696358636,0.2865429762750864,-0.5419979244470596,0.9775390625,1.45235825330019,0.96240234375,0.5725126937031746,0.15660850889980793,0.1325515117496252,0.018165073241107166,0.47098360024392605,-0.4725645035505295,0.9345703125,1.450225293636322,0.94970703125,0.5931907817721367
