tag,d,K,m,R,M,z_mse_exact,z_mse_primal_jacobi,z_mse_dual_diag,u_mse_exact,u_rel_exact,u_mse_primal_jacobi,u_rel_primal_jacobi,u_mse_dual_diag,u_rel_dual_diag,A_rel_exact,A_rel_primal_jacobi,A_rel_dual_diag
sweep,16,4,4,16,64,2.994920578203164e-07,6.105240117904032e-07,1.193318212244776e-06,8.32351432222822e-09,0.000142985227284953,3.2408514982762426e-08,0.0001684760209172964,3.396509384856472e-08,0.0002780368668027222,0.0001244093873538077,0.00014370924327522516,0.00024349226441700011
sweep,16,4,8,16,128,6.073153002716936e-08,7.74468489339597e-08,2.3256703229890263e-07,1.383884673522573e-09,6.402999861165881e-05,1.7235189941899876e-09,6.893268437124789e-05,5.119130896957813e-09,0.0001230948546435684,5.6534496252425015e-05,6.1020975408609957e-05,0.00011007305874954909
sweep,16,4,16,16,256,1.4198682229960014e-08,2.2188416437529668e-08,5.722710127997743e-08,3.492549582873039e-10,3.225170439691283e-05,5.101166156151749e-10,3.5403565561864525e-05,1.3435357271163184e-09,6.258038047235459e-05,2.725041122175753e-05,3.0165037969709374e-05,5.411038000602275e-05
sweep,16,4,32,16,512,3.576455132048295e-09,5.150170068191073e-09,1.5532656050254445e-08,9.578335347093514e-11,1.67816524481168e-05,1.2645473557171272e-10,1.8674812963581644e-05,3.7984898559884073e-10,3.3253731089644134e-05,1.3587064131570514e-05,1.5407331375172362e-05,2.824926923494786e-05
sweep,16,8,4,16,64,3.5293311384521076e-07,4.854197322856635e-05,1.9533965314622037e-05,1.9232079040421013e-08,0.00022873474517837167,1.808403112590895e-06,0.0016005178913474083,8.249123766290722e-07,0.0011158122215420008,0.00018501232261769474,0.0014563642907887697,0.0009840072598308325
sweep,16,8,8,16,128,6.756904724625201e-08,4.338869075581897e-06,1.039772541844286e-06,4.258535302170685e-09,0.00010445424413774163,1.6379119927023567e-07,0.0004645843291655183,4.7643347045323026e-08,0.0002874517231248319,8.250630344264209e-05,0.000426682730903849,0.00024959436268545687
sweep,16,8,16,16,256,1.4187918395691668e-08,3.810192765740794e-07,1.1806081090526277e-07,8.376470628235211e-10,4.920105857308954e-05,1.3215073479955208e-08,0.0001484335371060297,4.825823740617352e-09,0.00010702136205509305,3.8031619624234736e-05,0.00013188994489610195,8.953932410804555e-05
sweep,16,8,32,16,512,3.2132623228875445e-09,4.299510436567289e-08,1.202628041596654e-08,2.3211464694750106e-10,2.5523815565975383e-05,1.5778054418547072e-09,5.0693313824012876e-05,6.856378798048013e-10,4.253937368048355e-05,1.846649138315115e-05,4.358800651971251e-05,3.306502912892029e-05
sweep,16,16,4,16,64,6.253467859096418e-07,0.002934621647000313,0.0016693202778697014,7.37183896148963e-08,0.0004189532482996583,0.0002157619601348415,0.02197412960231304,0.00012448205961845815,0.016799993813037872,0.0003170293930452317,0.01944129914045334,0.014757984317839146
sweep,16,16,8,16,128,8.132425222129314e-08,0.0005119085544720292,0.00021892122458666563,1.180118136545616e-08,0.00016889377729967237,3.97001022065524e-05,0.00844288058578968,1.7305545043200254e-05,0.0055350856855511665,0.00011836874182336032,0.007404662668704987,0.00483535323292017
sweep,16,16,16,16,256,1.6514865919248223e-08,0.0002212400722783059,6.443288293667138e-05,2.170349455710152e-09,7.467406976502389e-05,1.575853457325138e-05,0.004704946652054787,4.840856490773149e-06,0.0027624224312603474,5.2892537496518344e-05,0.004239127971231937,0.0024407091550529003
sweep,16,16,32,16,512,3.642507184764554e-09,8.646052447147667e-05,2.3224758479045704e-05,6.019316156624654e-10,3.797163662966341e-05,5.511885774467373e-06,0.002853246871381998,1.4427496353164315e-06,0.0015027469489723444,2.5045443180715665e-05,0.0026711048558354378,0.001391430851072073
sweep,32,4,4,32,128,5.9144582564840675e-08,7.843146931918454e-08,2.0665078181991703e-07,1.4612859811080625e-09,6.564722571056336e-05,1.777442415473729e-09,7.036745955701917e-05,4.965180266935931e-09,0.00012067234638379887,5.5970365792745724e-05,6.0566799220396206e-05,0.00010404739441582933
sweep,32,4,8,32,256,1.3422384981254254e-08,1.3695315104200745e-08,4.791898788880644e-08,3.641624779504582e-10,3.260155790485442e-05,3.716132956910201e-10,3.2844160159584135e-05,1.2377969760279939e-09,5.993319791741669e-05,2.6929015803034417e-05,2.7147936634719372e-05,5.0622627895791084e-05
sweep,32,4,16,32,512,3.1927362975636697e-09,3.216601873745617e-09,1.1511962938470788e-08,9.02380045686435e-11,1.6895008229766972e-05,9.072918805141938e-11,1.6945563402259722e-05,2.9637969856111113e-10,3.0454635634669103e-05,1.3245458831079304e-05,1.329015321971383e-05,2.5075700250454247e-05
sweep,32,4,32,32,1024,8.12162948005124e-10,8.182058919281587e-10,2.976531021658957e-09,2.953798317051337e-11,9.592278729542159e-06,2.968612508591484e-11,9.608719665266108e-06,8.940086171360662e-11,1.6495323507115245e-05,6.641997060796712e-06,6.659988684987184e-06,1.2690237781498581e-05
sweep,32,8,4,32,128,5.6620159227804834e-08,5.677586614183383e-07,3.1107487075132667e-07,3.651265956250427e-09,0.00010442415805300698,2.4070452298019518e-08,0.00020317203598096967,1.5253885266020006e-08,0.00019561787485145032,7.848400855436921e-05,0.00016684335423633456,0.00015555977006442845
sweep,32,8,8,32,256,1.1987373760291575e-08,2.3821613126528973e-08,2.7998025231568135e-08,7.934339851800587e-10,4.910439747618511e-05,1.2871845811446292e-09,5.773089287686162e-05,1.8047684458011304e-09,7.202624692581594e-05,3.664733958430588e-05,4.434643778949976e-05,5.4810654546599835e-05
sweep,32,8,16,32,512,2.896904938154421e-09,3.672303128254839e-09,6.012375486363908e-09,2.2353188744439478e-10,2.5650506358942948e-05,2.5813423620846265e-10,2.7199293981539086e-05,4.388568120017311e-10,3.577983443392441e-05,1.8042164811049588e-05,1.9517283362802118e-05,2.591478914837353e-05
sweep,32,8,32,32,1024,6.675158203961473e-10,8.176275767546315e-10,1.3748124860768485e-09,5.5910373553125225e-11,1.3396800568443723e-05,6.242077688067837e-11,1.3852631127519999e-05,1.0237663494727656e-10,1.8078317225445062e-05,8.7024163804017e-06,9.139322173723485e-06,1.2451842849259265e-05
sweep,32,16,4,32,128,5.5792259701092917e-08,4.6334564103744924e-05,2.2554399038199335e-05,1.133827520760633e-08,0.00016773288371041417,4.6942514018155634e-06,0.0030188485980033875,2.3803888780093985e-06,0.002207963727414608,0.00010691856732591987,0.0024770060554146767,0.0017921741819009185
sweep,32,16,8,32,256,1.0496467695020328e-08,3.119506800430827e-06,1.1246941085119033e-06,2.2668000809744626e-09,7.77213426772505e-05,4.1676929640743765e-07,0.0006757949013262987,1.4387254054781806e-07,0.00044663320295512676,4.709604036179371e-05,0.0005444991402328014,0.0003544911160133779
sweep,32,16,16,32,512,2.2359678553129925e-09,3.7075508885209274e-07,6.78951863619659e-08,6.077867098497336e-10,3.914944318239577e-05,4.3580637765217034e-08,0.00018704062676988542,8.521523930937747e-09,0.00010950512660201639,2.192393731093034e-05,0.0001486219698563218,8.153577073244378e-05
sweep,32,16,32,32,1024,4.934813668810989e-10,2.6011987301899353e-06,4.6649088147887596e-08,1.7617932113189738e-10,2.0931620383635163e-05,1.0604295539451414e-06,0.00010921078501269221,1.808701810546154e-08,4.455609814613126e-05,1.0382728760305326e-05,7.681195711484179e-05,2.9402730433503166e-05
sweep,64,4,4,32,128,5.5304745671946876e-08,5.7546230891603045e-08,1.8565977200069028e-07,1.3385479391558874e-09,6.482929165940732e-05,1.3934486897682063e-09,6.577468593604863e-05,4.395448005567459e-09,0.00011611063382588327,5.500487168319523e-05,5.581507502938621e-05,9.975552529795095e-05
sweep,64,4,8,32,256,1.2433311269433034e-08,1.2455847908654505e-08,4.074351878102789e-08,3.298145645480588e-10,3.2311065297108144e-05,3.3034988633495743e-10,3.233657480450347e-05,1.0344569645326374e-09,5.7060577091760933e-05,2.6357616661698557e-05,2.63801593973767e-05,4.7655303205829114e-05
sweep,64,4,16,32,512,3.4045664065729397e-09,3.409621252004058e-09,1.1513057174283858e-08,1.0000029970758106e-10,1.7669070075498894e-05,1.0013146561904662e-10,1.767960020515602e-05,3.096896072918298e-10,3.088430094067007e-05,1.3809204574499745e-05,1.3818143997923471e-05,2.5297402316937223e-05
sweep,64,4,32,32,1024,7.309458038839978e-10,7.31085081362437e-10,2.4746737992131784e-09,2.5065106240562685e-11,9.167152711597737e-06,2.5064891134851663e-11,9.167097232420929e-06,6.966010407394307e-11,1.5143945347517729e-05,6.404031410056632e-06,6.40453299638466e-06,1.175323541247053e-05
sweep,64,8,4,32,128,5.182694451377756e-08,2.1862251742277294e-07,1.775859175268124e-07,3.4745251120682497e-09,0.00010233560169581324,1.572456476139905e-08,0.00015508150681853294,1.0634934710651578e-08,0.00016906787641346455,7.645098958164454e-05,0.00012240622891113162,0.00013175811909604818
sweep,64,8,8,32,256,1.1696115187476153e-08,1.3910813834172586e-08,2.3020458428391066e-08,8.363398862343274e-10,5.120899004396051e-05,9.702953995827102e-10,5.430527380667627e-05,1.5964845001548156e-09,7.034849841147661e-05,3.670855949167162e-05,3.9458962419303134e-05,5.130036151967943e-05
sweep,64,8,16,32,512,2.6812649878138473e-09,2.804380727639e-09,5.110286860343649e-09,2.12106748831431e-10,2.5540344722685404e-05,2.1919208115228628e-10,2.5934174118447118e-05,3.829783157272004e-10,3.425197064643726e-05,1.761776911735069e-05,1.7967862731893547e-05,2.429469532216899e-05
sweep,64,8,32,32,1024,6.330782564845094e-10,6.38528729890453e-10,1.1945447964123446e-09,6.034374389063402e-11,1.3769546058028936e-05,6.097022192674828e-11,1.3816090358886868e-05,1.0300955227693365e-10,1.792221337382216e-05,8.597860869485885e-06,8.630141564935911e-06,1.179975333798211e-05
sweep,64,16,4,32,128,4.951556320520467e-08,1.5221759895212017e-05,1.0827108781086281e-05,1.0873717926074278e-08,0.00017028741422109306,1.9881945263477974e-06,0.0019037642050534487,1.3213139027357101e-06,0.0016231727786362171,0.00010469381959410384,0.0015134660061448812,0.001288649975322187
sweep,64,16,8,32,256,9.13280473469058e-09,3.3344232974741317e-07,2.0923690158269892e-07,2.3364234991163357e-09,7.948435086291283e-05,4.849183810051727e-08,0.000278033665381372,3.0210095758320676e-08,0.00023558233806397766,4.536240885499865e-05,0.00020823284285143018,0.0001709032221697271
sweep,64,16,16,32,512,2.000305032723304e-09,8.505884885323667e-09,6.766052162987535e-09,5.538347558342593e-10,3.954282874474302e-05,1.6171608496762246e-09,5.917964153923094e-05,1.4221853694706965e-09,5.926811718381941e-05,2.14278552448377e-05,3.768468741327524e-05,3.604694938985631e-05
sweep,64,16,32,32,1024,4.669014064262456e-10,1.896495627207173e-09,1.095791457572659e-09,1.8017778935508488e-10,2.1485177057911642e-05,5.207242415039559e-10,2.6896192139247432e-05,3.132543668904475e-10,2.7271871658740565e-05,1.034239903674461e-05,1.502507620898541e-05,1.4580391507479362e-05
