variant,seed,n_context,method,mse,se,episodes,parameters
transformer,3,4,model,0.530316948890686,0.005100257229059935,5120,100865
transformer,3,4,exact_krr,0.5145028233528137,0.004990946967154741,5120,100865
transformer,3,4,nw,0.8472551107406616,0.009375900030136108,5120,100865
transformer,3,8,model,0.26478445529937744,0.0031414420809596777,5120,100865
transformer,3,8,exact_krr,0.24020680785179138,0.002975265495479107,5120,100865
transformer,3,8,nw,0.47212380170822144,0.005492816679179668,5120,100865
transformer,3,12,model,0.1347937136888504,0.0018443057779222727,5120,100865
transformer,3,12,exact_krr,0.111114501953125,0.0016803126782178879,5120,100865
transformer,3,12,nw,0.32468581199645996,0.0034387586638331413,5120,100865
transformer,3,16,model,0.076178178191185,0.0012230077991262078,5120,100865
transformer,3,16,exact_krr,0.05602889135479927,0.001087087206542492,5120,100865
transformer,3,16,nw,0.2640298306941986,0.0025681916158646345,5120,100865
transformer,3,24,model,0.030535990372300148,0.000518277520313859,5120,100865
transformer,3,24,exact_krr,0.017933592200279236,0.0004082866362296045,5120,100865
transformer,3,24,nw,0.21032896637916565,0.0017511793412268162,5120,100865
