step,variant,seed,n_context,train_mse
1,transformer,3,9,2.6044211387634277
100,transformer,3,7,0.7353702187538147
200,transformer,3,16,0.38034483790397644
300,transformer,3,6,0.4680834412574768
400,transformer,3,8,0.32272499799728394
500,transformer,3,8,0.3204529285430908
600,transformer,3,14,0.16163858771324158
700,transformer,3,9,0.23374776542186737
800,transformer,3,13,0.1605370044708252
900,transformer,3,16,0.11228857934474945
1000,transformer,3,8,0.3408510684967041
1100,transformer,3,13,0.12095928192138672
1200,transformer,3,14,0.10359839349985123
1300,transformer,3,8,0.2657797336578369
1400,transformer,3,7,0.336804062128067
1500,transformer,3,6,0.4050356447696686
1600,transformer,3,14,0.11749237775802612
1700,transformer,3,11,0.173578143119812
1800,transformer,3,9,0.22649744153022766
1900,transformer,3,6,0.41628900170326233
2000,transformer,3,13,0.10260772705078125
2100,transformer,3,6,0.3389618396759033
2200,transformer,3,10,0.24208971858024597
2300,transformer,3,13,0.1292845904827118
2400,transformer,3,13,0.1121632307767868
2500,transformer,3,15,0.0662044882774353
2600,transformer,3,16,0.08075594902038574
2700,transformer,3,12,0.14711517095565796
2800,transformer,3,6,0.3940909206867218
2900,transformer,3,13,0.11038131266832352
3000,transformer,3,7,0.34076258540153503
3100,transformer,3,6,0.38821589946746826
3200,transformer,3,15,0.09996138513088226
3300,transformer,3,13,0.10152332484722137
3400,transformer,3,9,0.23098906874656677
3500,transformer,3,6,0.3819027543067932
3600,transformer,3,8,0.2880740165710449
3700,transformer,3,16,0.06120996177196503
3800,transformer,3,15,0.0873146653175354
3900,transformer,3,16,0.08187901973724365
4000,transformer,3,9,0.20255938172340393
4100,transformer,3,16,0.069102942943573
4200,transformer,3,10,0.17694181203842163
4300,transformer,3,6,0.3619145154953003
4400,transformer,3,14,0.09121865034103394
4500,transformer,3,13,0.1215067133307457
4600,transformer,3,12,0.1465388536453247
4700,transformer,3,10,0.18685895204544067
4800,transformer,3,16,0.09393204748630524
4900,transformer,3,14,0.09839262813329697
5000,transformer,3,15,0.1007193922996521
