seed,depth,task,auc,average_precision,iou_top7,centroid_error,relative_residual
17,1,0,0.9981995884773662,0.969794436415306,0.7222222222222222,0.005516744684427977,3.172734498977661
17,1,1,0.9996319876347846,0.9959285085363423,0.8275862068965517,0.014392837882041931,2.6904830932617188
17,1,2,0.9983570196336155,0.9592490314341285,0.5138888888888888,0.049263447523117065,3.6946187019348145
17,1,3,0.9993352304534429,0.9936249869340901,0.782608695652174,0.021378982812166214,2.501068353652954
17,1,4,0.9980182495263399,0.9600028473590861,0.6527777777777778,0.011370740830898285,3.8849680423736572
17,1,5,0.9978434130332864,0.976886666325665,0.8414634146341463,0.026022186502814293,2.4589898586273193
17,1,6,0.9984051036682615,0.9723240204564568,0.7638888888888888,0.007300029043108225,3.3046934604644775
17,1,7,0.9985748776071356,0.9777458162848203,0.8356164383561644,0.005894151516258717,3.092261791229248
17,1,8,0.9985348506401139,0.9809747215067219,0.8481012658227848,0.017542405053973198,2.6108956336975098
17,1,9,0.9987636108184053,0.985187479354539,0.8607594936708861,0.012724371626973152,2.7319767475128174
17,1,10,0.9998972335265344,0.9991147282452371,0.6792452830188679,0.008347447961568832,2.5995774269104004
17,1,11,0.999281726025912,0.9919398014188843,0.875,0.01640322059392929,2.595562219619751
17,1,12,0.9977479079249936,0.9507805392874882,0.5972222222222222,0.013998718932271004,3.864323616027832
17,1,13,0.9999598937183536,0.9996655817504232,0.6605504587155964,0.013682766817510128,2.5254554748535156
17,1,14,0.9982417582417583,0.9659658906506638,0.6805555555555556,0.015445895493030548,3.2276833057403564
17,1,15,0.9987880916834987,0.9802168886653753,0.8194444444444444,0.0021433744113892317,2.8714864253997803
17,1,16,0.999336536261725,0.9938505167761466,0.7659574468085106,0.02209639921784401,2.5384521484375
17,1,17,0.9984212239583333,0.9760282510254967,0.8133333333333334,0.005307222716510296,3.099860668182373
17,1,18,0.9997620747085415,0.9975085623199473,0.8,0.009943224489688873,2.711963653564453
17,1,19,0.9990991892703434,0.992189860826643,0.7422680412371134,0.02343401499092579,2.407961130142212
17,1,20,0.9997695351010845,0.9973343028502007,0.8674698795180723,0.014798606745898724,2.4987943172454834
17,1,21,0.9998557952292254,0.998475912957972,0.8089887640449438,0.011630591005086899,2.875915765762329
17,1,22,0.9982748706152962,0.960642303189205,0.5138888888888888,0.05650010704994202,3.4543089866638184
17,1,23,0.9973577452759688,0.942494413887164,0.5068493150684932,0.04052853584289551,3.4857280254364014
17,1,24,0.999543351559214,0.9950336641067288,0.7888888888888889,0.011055989190936089,2.835435152053833
17,1,25,0.9972416299159276,0.9574664377389481,0.8,0.007484102621674538,2.791790008544922
17,1,26,0.9990907190635451,0.9922772238534907,0.6923076923076923,0.02246374823153019,2.3873395919799805
17,1,27,0.9988388758867178,0.980701357670458,0.7916666666666666,0.0065264953300356865,3.47684907913208
17,1,28,0.9990082808548619,0.9895929561891434,0.8160919540229885,0.025698212906718254,2.5377297401428223
17,1,29,0.9972509875093413,0.9346814536768422,0.5277777777777778,0.059822697192430496,3.42401123046875
17,1,30,0.9991008078679311,0.9897755454962534,0.8846153846153846,0.012701760046184063,2.8510749340057373
17,1,31,0.9980439228238641,0.962815337352489,0.6388888888888888,0.02588055469095707,3.331683874130249
17,1,32,0.9990125546621527,0.9820746277438255,0.7083333333333334,0.004330704919993877,3.445610284805298
17,1,33,0.9990161048107297,0.9894696606200228,0.8333333333333334,0.019031696021556854,2.5671327114105225
17,1,34,0.9981961382113822,0.958475495990187,0.5555555555555556,0.02722548320889473,3.603670835494995
17,1,35,0.9980516707590477,0.9538183519106517,0.5277777777777778,0.03771161660552025,3.6209640502929688
17,1,36,0.9981204495093384,0.9644255610407408,0.7222222222222222,0.021344467997550964,3.0567331314086914
17,1,37,0.9992715617715618,0.9923810820449891,0.8181818181818182,0.018205108121037483,2.6871354579925537
17,1,38,0.9956380532441979,0.9226879664310301,0.5753424657534246,0.04311186447739601,3.1760478019714355
17,1,39,0.9993494877215807,0.9920189927840833,0.875,0.015606728382408619,2.6397781372070312
17,1,40,0.9996580133685684,0.9971663180337776,0.6857142857142857,0.02845655009150505,2.4802744388580322
17,1,41,0.9996476501373128,0.9969386446994757,0.6857142857142857,0.009211741387844086,2.455080986022949
17,1,42,0.99899168863345,0.9869942124348523,0.8831168831168831,0.015655625611543655,2.784574031829834
17,1,43,0.9987486965589155,0.9827765043533863,0.8513513513513513,0.01163509115576744,2.7837090492248535
17,1,44,0.9984828011284167,0.9668086446798139,0.5972222222222222,0.018326731398701668,3.44640851020813
17,1,45,0.9974025974025974,0.9515772086220613,0.6111111111111112,0.030665311962366104,3.229025363922119
17,1,46,0.9978654171547572,0.9465050596217424,0.5416666666666666,0.0022228544112294912,4.283204078674316
17,1,47,0.9991446422373184,0.9904362184363422,0.7954545454545454,0.01886007748544216,2.502598762512207
17,1,48,0.9986490289895862,0.9761561475578042,0.7638888888888888,0.001677712774835527,3.074627161026001
17,1,49,0.9985495718897675,0.9781891673441198,0.8533333333333334,0.012830780819058418,2.91243052482605
17,1,50,0.9995727823520273,0.9948447500295088,0.8554216867469879,0.020668767392635345,2.6057403087615967
17,1,51,0.9995741195741196,0.9963922339029205,0.7272727272727273,0.016615130007267,2.5207512378692627
17,1,52,0.998780487804878,0.9707617062235256,0.5555555555555556,0.0059407432563602924,4.329220771789551
17,1,53,0.9984864650274173,0.9675633220130218,0.5694444444444444,0.007777088321745396,3.5762276649475098
17,1,54,0.999938849764062,0.9994741348163637,0.6728971962616822,0.006637644022703171,2.593604564666748
17,1,55,0.9995522795522795,0.9956792139343547,0.7272727272727273,0.015054967254400253,2.441044330596924
17,1,56,0.9991634553408577,0.9892651080796754,0.8625,0.016205983236432076,2.7528598308563232
17,1,57,0.9992055084745763,0.9902795304462099,0.8765432098765432,0.011969344690442085,2.641160249710083
17,1,58,0.9986380660537965,0.9724635438735072,0.625,0.007401172071695328,3.6126797199249268
17,1,59,0.9986009365952238,0.9754392682828505,0.7361111111111112,0.005195923615247011,3.4330673217773438
17,1,60,0.9996249413970932,0.9954543175354292,0.8875,0.013891092501580715,2.8180010318756104
17,1,61,0.9990192621324988,0.9918049579220172,0.7346938775510204,0.030830493196845055,2.486342191696167
17,1,62,0.9996768528275378,0.9956684929429653,0.9342105263157895,0.004643477965146303,3.213606834411621
17,1,63,0.9982549957782156,0.9659335649438308,0.7638888888888888,0.005470107309520245,3.1811325550079346
17,1,64,0.9988490154971842,0.9906758502898134,0.6792452830188679,0.029106780886650085,2.425823450088501
17,1,65,0.9987063655030801,0.9766982541845504,0.6944444444444444,0.005449899006634951,3.291231870651245
17,1,66,0.9980516707590478,0.9537689867624202,0.5277777777777778,0.010877628810703754,3.900932550430298
17,1,67,0.9987572987419778,0.9803059355271114,0.8472222222222222,0.0033155607525259256,3.0417816638946533
17,1,68,0.9985795454545455,0.9759523418719791,0.7777777777777778,0.002688081469386816,3.3156180381774902
17,1,69,0.9997115575890193,0.9976127750301322,0.6545454545454545,0.015854327008128166,2.534470796585083
17,1,70,0.9995865438827288,0.9955555520964856,0.8255813953488372,0.019552500918507576,2.728604555130005
17,1,71,0.9982787274453941,0.9705276665187949,0.7222222222222222,0.025849180296063423,3.053821325302124
17,1,72,0.9997762152102988,0.9978220279174588,0.7912087912087912,0.011268326081335545,2.6901867389678955
17,1,73,0.9987139917695472,0.9769540901070939,0.7222222222222222,0.004967692773789167,3.382692337036133
