method,family,noise_rel,n_tasks,auc_mean,auc_ci95,average_precision_mean,average_precision_ci95,iou_top7_mean,iou_top7_ci95,centroid_error_mean,centroid_error_ci95,relative_residual_mean,relative_residual_ci95
exact_tikhonov,ellipse,0.08,576,0.9994439860884713,4.995963219320697e-05,0.9924044181637532,0.0006017196228128933,0.7417878078976132,0.010322200653142745,0.005303668212249517,0.00024020530060173462,2.184541667639274e-05,3.0191606081124215e-07
exact_tikhonov,ellipse,0.15,576,0.9993459569229972,5.7016644191316905e-05,0.9917302121669166,0.0006332153097842712,0.7527464097245777,0.009592828279071566,0.006294051009006769,0.000293523703529722,1.726068493231499e-05,2.381738592661455e-07
exact_tikhonov,kite,0.08,576,0.9987275941539566,0.00010877526054774519,0.9869408439082924,0.0009209183649436504,0.7283625177718095,0.009339035052250005,0.006135343160116867,0.0002632980440911832,2.098334064094666e-05,3.109394258139909e-07
exact_tikhonov,kite,0.15,576,0.9989242209493749,9.311815640555237e-05,0.9888756381645444,0.0007726225602198241,0.7418433966881001,0.009312819943767599,0.006687635310779822,0.0002775011746467236,1.6972481229042085e-05,2.463926678458923e-07
exact_tikhonov,two_disks,0.08,576,0.996051123129625,9.699448559139541e-05,0.9113841313208787,0.0027090164211619376,0.7006717715916477,0.006833190709683791,0.007822296154497761,0.00039325593350792375,2.3132504951364455e-05,1.298666594643162e-07
exact_tikhonov,two_disks,0.15,576,0.9961517445561248,0.00010056161551688218,0.9131012089391367,0.0028005648009738664,0.696718296341704,0.006903024113486403,0.008327155086273587,0.00040519200065929924,1.8092203437921246e-05,1.1195162117522634e-07
identity_cg_20,ellipse,0.08,576,0.9994438648904094,4.996576191351569e-05,0.9924013934054838,0.0006019637350253215,0.7417878078976132,0.010322200653142745,0.005299019900839857,0.00024052519482968985,0.0026773427727372714,0.00017147469941579654
identity_cg_20,ellipse,0.15,576,0.9993457827882489,5.705625322062371e-05,0.9917283086652632,0.0006335333560694256,0.7527464097245777,0.009592828279071566,0.006293489301238865,0.00029489959913663353,0.020115854287925887,0.001232765459890597
identity_cg_20,kite,0.08,576,0.9987276092655129,0.00010877207006181888,0.9869404041194253,0.0009209170507234794,0.7284060728400354,0.009344197841525605,0.006146699422414612,0.00026194690767617705,0.0031245065334183485,0.0002170095779870918
identity_cg_20,kite,0.15,576,0.9989239858104187,9.312006802969581e-05,0.9888709997913993,0.0007726260989511577,0.7418449973179277,0.009313674339894261,0.006683162023339012,0.00027804758174892016,0.013482458672620446,0.000680801711550459
identity_cg_20,two_disks,0.08,576,0.9960512308476659,9.697571193021752e-05,0.911388378900596,0.0027082560853426314,0.7006717715916477,0.006833190709683791,0.007819555736205075,0.00039292477721540066,0.006342665107998376,0.00038406268444426457
identity_cg_20,two_disks,0.15,576,0.9961517263863442,0.00010055867891809532,0.9131068635391872,0.002800407891938531,0.6968381872085981,0.006904409542478067,0.008309036962284034,0.0004032686270935186,0.023850027875596425,0.0011219464164089021
