scenario,category,n_tasks,commutator_mean,commutator_ci95,commutator_q10,oracle_graph_residual_mean,oracle_graph_residual_ci95,oracle_graph_residual_q10,oracle_graph_condition_mean,oracle_graph_condition_ci95,oracle_graph_condition_q10,equivariant_epsilon_mean,equivariant_epsilon_ci95,equivariant_epsilon_q10,equivariant_actual_condition_mean,equivariant_actual_condition_ci95,equivariant_actual_condition_q10,equivariant_certified_mean,equivariant_certified_ci95,equivariant_certified_q10,analytic_epsilon_mean,analytic_epsilon_ci95,analytic_epsilon_q10,analytic_actual_condition_mean,analytic_actual_condition_ci95,analytic_actual_condition_q10,analytic_certified_mean,analytic_certified_ci95,analytic_certified_q10
180-degree aperture,OOD aperture,12,0.07536930218338966,0.007370691844165084,0.061130188032984735,0.26742128779490787,0.07797570186500957,0.1547999605536461,1532.7448323567708,142.34816768927013,1257.8189453125,0.8747429450352987,0.07841861017673948,0.6719791114330291,245.86327560742697,374.5135590217707,4.147272109985352,0.9166666666666666,0.16333333333333333,1.0,1.4332761565844219,0.08002347542487334,1.2950409650802612,13.239458759625753,2.9127127419883214,8.411174488067626,0.0,0.0,0.0
30% noise,OOD noise,12,0.04726365301758051,0.003755731744912884,0.03875698111951351,0.8471642931302389,0.20696292368433813,0.4640690088272095,1331.6437174479167,87.58928835499938,1174.7238159179688,1.0389735251665115,0.03787855527535857,0.9875380754470825,2462.567831993103,4300.415691426769,28.439695358276374,0.5833333333333334,0.29134831110517595,0.0,1.3573068777720134,0.03424064035860425,1.3001538038253784,8.851281881332397,1.3356753497047644,5.607335567474365,0.0,0.0,0.0
four obstacles,ID,12,0.0441972849269708,0.003906777552632307,0.03384702056646347,0.530129057665666,0.15441050804449366,0.3036717176437378,1432.9587707519531,117.86705276926318,1178.1771118164063,0.9247334152460098,0.053273268042069256,0.8400615811347961,26.092511653900146,11.381558612997893,10.652361202239991,0.9166666666666666,0.16333333333333333,1.0,1.3358900745709736,0.045756738894992585,1.242902410030365,8.690566897392273,1.3337146860266846,5.803035497665405,0.0,0.0,0.0
heteroscedastic noise,OOD noise,12,0.05469520421077808,0.0029926202187570703,0.04814303033053875,1.3848997429013252,0.20771899412966616,1.1871962904930116,1446.8412373860676,117.81826461954692,1206.3108520507812,1.0674361089865367,0.09751862666169672,0.8916924893856049,2546.5911547342935,4558.27669725911,6.003797197341919,0.4166666666666667,0.29134831110517595,0.0,1.4676604568958282,0.03913188916193609,1.3708315730094909,11.939841548601786,2.1577510003213862,6.439052963256836,0.0,0.0,0.0
mirrored kites,lsmlab-inspired,12,0.0610269857570529,0.006742807027182166,0.04757501408457756,0.7794985497991244,0.15354761621914745,0.39078247249126435,2019.2153625488281,219.6854960547286,1645.1680908203125,0.8992182364066442,0.046164297061273556,0.7688829243183136,287.1757649978002,356.28346593791684,6.06701397895813,1.0,0.0,1.0,1.5438514649868011,0.08299435515188879,1.442181658744812,13.63946302731832,3.8421650364208224,7.200871419906616,0.0,0.0,0.0
one obstacle,ID,12,0.060917671459416546,0.012221489530726298,0.031380388699471955,0.03533570054181231,0.04146123859668216,0.0015339909237809478,2037.2178630828857,497.0415908077292,678.8083374023438,0.8509098837773005,0.13610541417610117,0.6797380149364471,34.63010960817337,51.47845698308549,3.6714779615402224,0.9166666666666666,0.16333333333333333,1.0,1.4116234680016835,0.10541075889560858,1.3248600006103515,8.950953006744385,1.264282890797825,7.553843450546265,0.08333333333333333,0.16333333333333333,0.0
six obstacles,OOD count,12,0.04834042737881342,0.006735640454427704,0.035401440039277074,0.8915329128503799,0.294299682016286,0.3563952833414078,1210.7807922363281,84.41891609367818,1033.2449096679688,0.9086688607931137,0.06389780465433001,0.8148413240909577,366.8655715783437,539.0263347465661,8.227107000350953,1.0,0.0,1.0,1.2317599952220917,0.050347152752741355,1.121064031124115,9.009602030118307,0.8171047119072051,7.164980030059814,0.0,0.0,0.0
three obstacles,ID,12,0.05741280876100063,0.006479211480051521,0.04258483685553074,1.3314275493224461,0.17946030795003093,0.901463633775711,1576.1087443033855,96.47329104126314,1368.686083984375,0.9330388953288397,0.04700509038759253,0.8730907082557678,380.0892987251282,444.39309553653715,14.074859142303467,1.0,0.0,1.0,1.388034810622533,0.043268843029576426,1.3058072209358216,7.982081890106201,1.613686197672732,6.395676183700561,0.0,0.0,0.0
three stars,OOD shape,12,0.05713514362772306,0.005479198829658302,0.04552448689937592,1.4637408951918285,0.1485390985836123,1.1120338082313537,1526.4339548746746,158.62576059149936,1236.4315063476563,0.9703272332747778,0.10668859139146133,0.7690222024917602,2026.8401443560917,2396.0028918409753,7.617466974258423,0.75,0.2558941542548758,0.0,1.3853517671426137,0.06621775175812805,1.2921647667884826,8.951225439707438,2.0006873862386687,6.173256254196167,0.0,0.0,0.0
two crescents,OOD shape,12,0.06002206293245157,0.009250756372191615,0.043956761807203294,0.875906452536583,0.18209753114493865,0.41849166452884673,2100.3289184570312,292.2916882418312,1587.5808471679688,1.0350548873345058,0.16294207700893776,0.7765526950359345,14.137732028961182,13.241714600084848,5.095208215713501,0.5833333333333334,0.29134831110517595,0.0,1.4470739265282948,0.08947662900195016,1.2765981793403625,13.676279465357462,3.1377995924982773,7.422846698760987,0.0,0.0,0.0
