method,scenario,category,n_tasks,average_precision_mean,average_precision_ci95,auc_mean,auc_ci95,area_matched_iou_mean,area_matched_iou_ci95,score_correlation_mean,score_correlation_ci95,mean_relative_residual_mean,mean_relative_residual_ci95,covariance_relative_residual_mean,covariance_relative_residual_ci95,balanced_brier_mean,balanced_brier_ci95,balanced_nll_mean,balanced_nll_ci95,balanced_ece_mean,balanced_ece_ci95,uncertainty_error_auc_mean,uncertainty_error_auc_ci95,certificate_mean,certificate_ci95,boundary_residual_mean,boundary_residual_ci95
exact,180 degree aperture,OOD aperture,4,0.4958204544896838,0.0841290043447049,0.9671843965874242,0.005828421343500999,0.29031836720935716,0.04464506554279822,1.0,0.0,6.748451596649829e-05,1.2799223725825618e-05,1.9934396107146313e-06,1.7440606512914773e-07,0.07325538340955973,0.018513938050699293,0.7126030474901199,0.3107913511961081,0.07881644181907177,0.016150990164108377,0.6956314054849599,0.043444425847469,nan,0.0,1.3170625265956915e-06,3.8641475421787404e-07
exact,30 percent noise,OOD noise,4,0.6768094031887595,0.07817552882278919,0.9779878251610168,0.005699338522088919,0.45524694839917873,0.09375500472531526,1.0,0.0,1.3527291685022647e-05,1.2887289677927364e-06,8.742024135699467e-07,1.0232466348838863e-07,0.17463913932442665,0.0112871390807355,2.091270327568054,0.1560435472624469,0.1804145947098732,0.010832810531248904,0.5684330923342145,0.016344682868619943,nan,0.0,1.2494849386257556e-06,2.0196030773425082e-07
exact,four obstacles,ID,4,0.778651159402572,0.05585242071185221,0.9818106549586338,0.004915647735767055,0.5139957264957264,0.04985388120405662,1.0,0.0,3.85597249987768e-05,5.697301839036375e-06,1.4661690386219561e-06,5.3103682811657835e-08,0.11433592438697815,0.006150750354774511,1.417213350534439,0.09060455356700008,0.11707002110779285,0.0063480585900822,0.5859048006120642,0.012639350122593155,nan,0.0,1.4382549409219791e-06,6.403140519886888e-07
exact,one obstacle,ID,4,0.9648015873015873,0.03990000000000003,0.9996877729685358,0.0003643060802599325,0.8055555555555556,0.22448019517251705,1.0,0.0,0.0001856418966781348,3.767999619556167e-05,3.3174947589031945e-06,3.196092220450418e-07,0.003704116039443761,0.0006542991397296402,0.04053062805905938,0.0075899000532566015,0.00399103993549943,0.0007453354652327313,0.7417736456853186,0.05519996429212024,nan,0.0,5.962436411266481e-07,5.266706471587227e-07
exact,six obstacles,OOD count,4,0.726943193990038,0.07881239899165624,0.9612587104980729,0.016299807543426675,0.4803122946085363,0.06584335236871568,1.0,0.0,3.237155033275485e-05,2.7779676271429265e-06,1.4240314953894995e-06,6.138174001656186e-08,0.18068987131118774,0.00738484760562467,2.2775862216949463,0.08745376929785874,0.18424303084611893,0.0070732011186729424,0.5553899340520208,0.01338757795122046,nan,0.0,2.0142741732342984e-06,1.5482818019796387e-06
exact,three stars,OOD shape,4,0.7962832381574884,0.09541615614853396,0.9885292456057921,0.004418884421497027,0.5444478002617537,0.07337635031797791,1.0,0.0,4.016013463115087e-05,3.1459180857467583e-06,1.4805915782289958e-06,6.885978889038868e-08,0.0874939113855362,0.0025015647987239324,1.0777913331985474,0.0432194678126532,0.08952203206717968,0.0025280131927212265,0.5920480075102244,0.014253344467758923,nan,0.0,1.6486026481743465e-06,1.0959589711027883e-07
exact,two obstacles,ID,4,0.9413461252213698,0.030176469840585272,0.9981439608451894,0.0013013650161780867,0.7429363049567653,0.06700854520906348,1.0,0.0,0.00011773756887123454,1.4976518200334428e-05,2.374822088313522e-06,2.648079899513869e-07,0.024404103867709637,0.003038256934703651,0.27430736646056175,0.03825080508749401,0.02545168809592724,0.0029348926469293943,0.6661932670122572,0.038606245045124866,nan,0.0,1.4980280980125826e-06,2.6369704452573316e-07
exact,wavenumber 12,OOD frequency,4,0.8575405319849253,0.11596119448542247,0.9929922364175059,0.006615010864615937,0.5990384615384616,0.16597103398571683,1.0,0.0,4.870703196502291e-05,4.03757419288646e-06,1.358293133080224e-06,6.713705224106136e-08,0.05874336417764425,0.0094103743050513,0.702724277973175,0.14500090439594565,0.06052807439118624,0.009000810466546669,0.6431370845360697,0.04650595123948853,nan,0.0,1.018519107276461e-06,5.595857229668522e-07
global-safe-HB,180 degree aperture,OOD aperture,4,0.44650470051120994,0.05252974144084943,0.963309598355763,0.0032788760942742737,0.24345238095238092,0.029166666666666657,0.9806191067313456,0.003891632579345153,0.5898917466402054,0.06092048364978322,0.7025346755981445,0.17915377155791343,0.1262060683220625,0.055859877972033706,0.9641967788338661,0.38781687592173736,0.13941296003758907,0.06046458585788289,0.7984508377064661,0.05376696484421385,0.0,0.0,1.3170625265956915e-06,3.8641475421787404e-07
global-safe-HB,30 percent noise,OOD noise,4,0.6670044764214406,0.07619509424157557,0.9771236800399958,0.005276794934874242,0.4391809475307462,0.06982904899063862,0.9903337716145498,0.0017912724418310075,0.24884158745408058,0.02067797161986348,0.22177622467279434,0.050817598700013206,0.1085286159068346,0.01469003369615506,1.2032944858074188,0.1657312589204577,0.11280052550137043,0.014782306965440176,0.6693666725632996,0.012150470085682185,0.0,0.0,1.2494849386257556e-06,2.0196030773425082e-07
global-safe-HB,four obstacles,ID,4,0.7656086562799465,0.05130525375744504,0.9820370837019531,0.005718643129069507,0.5044572297003908,0.04291515747272057,0.980901607296804,0.008164381508158436,0.512186236679554,0.04450434275927416,0.5757347643375397,0.04807482159762862,0.0921971257776022,0.009569250729365895,1.012300506234169,0.13557191907619395,0.09550965577363968,0.009718430376671345,0.6889779565478725,0.032292101523402644,0.0,0.0,1.4382549409219791e-06,6.403140519886888e-07
global-safe-HB,one obstacle,ID,4,1.0,0.0,1.0,0.0,1.0,0.0,0.8497508341700439,0.04383685951023775,1.0098805874586105,0.2558715720029584,2.6132580637931824,1.2170630012759431,0.1186125380845624,0.23002834025202998,0.7321863576071337,1.4155568806969216,0.12771240575239062,0.23339726906925007,0.8746790757381258,0.24479104783842248,0.0,0.0,5.962436411266481e-07,5.266706471587227e-07
global-safe-HB,six obstacles,OOD count,4,0.7016539866403468,0.06474316964068437,0.9626136233669822,0.011030956787067307,0.4906666737924008,0.0627128223914937,0.9823080362731951,0.004979087442392133,0.4651152342557907,0.03319148478172504,0.5019935891032219,0.0579592323595286,0.16155701875686646,0.002639819192800257,1.8420304656028748,0.05546323776857238,0.16641181707382202,0.0033692876999201803,0.6706675253256992,0.014352363384583969,0.0,0.0,2.0142741732342984e-06,1.5482818019796387e-06
global-safe-HB,three stars,OOD shape,4,0.7644646003188367,0.10991879691972187,0.9856527525018463,0.005300255057158808,0.5519319093096159,0.1192211224870333,0.9829115336723363,0.00459715139456789,0.5126951336860657,0.03934704271512987,0.6111510023474693,0.08237556246718632,0.06781641393899918,0.0041195635869338415,0.753529965877533,0.046860901411614156,0.07055550441145897,0.0037426767698139295,0.7049049186189424,0.03180479347209268,0.0,0.0,1.6486026481743465e-06,1.0959589711027883e-07
global-safe-HB,two obstacles,ID,4,0.8809979385379312,0.0713464227599413,0.9970253113190652,0.0018300096121658962,0.693655303030303,0.14713597791465155,0.9529611641179405,0.017554315649109496,0.6465899646282196,0.057737684481185325,0.8154957443475723,0.18348875248721078,0.019690024433657527,0.004459893153090608,0.1827222742140293,0.042752798844062884,0.02119380747899413,0.004368250339696717,0.8486844116611553,0.00987988506901819,0.0,0.0,1.4980280980125826e-06,2.6369704452573316e-07
