method,network_width,parameter_count,dataset_size,context_size,context_measurements,regime_class,n_tasks,n_seeds,training_seconds,average_precision_mean,average_precision_std,auc_mean,auc_std,iou_top7_mean,iou_top7_std,centroid_error_mean,centroid_error_std,area_matched_iou_mean,area_matched_iou_std,exact_score_correlation_mean,exact_score_correlation_std,relative_score_error_mean,relative_score_error_std,mean_relative_residual_mean,mean_relative_residual_std,covariance_relative_residual_mean,covariance_relative_residual_std,posterior_std_mean_mean,posterior_std_mean_std,uq_error_correlation_mean,uq_error_correlation_std,numerical_coverage_95_mean,numerical_coverage_95_std,average_precision_ci95,auc_ci95,iou_top7_ci95,centroid_error_ci95,area_matched_iou_ci95,exact_score_correlation_ci95,relative_score_error_ci95,mean_relative_residual_ci95,covariance_relative_residual_ci95,posterior_std_mean_ci95,uq_error_correlation_ci95,numerical_coverage_95_ci95,localization_risk_mean,localization_risk_ci95
exact,0,0,0,8,64,All,28,1,0.0,0.4782003357131251,0.27766089567158175,0.8819168447677829,0.11876068231423578,0.21138711134721802,0.10832756894911061,0.10631941982345386,0.057682818917331596,0.3283053695418007,0.24161327200021374,1.0,0.0,0.0,0.0,8.877421097151586e-06,1.0574044230645731e-05,3.9025972244287133e-07,2.1809329724283507e-07,0.03463325589629151,0.015005382811537217,0.0,0.0,1.0,0.0,0.10284703502562381,0.04398957233101405,0.04012509306001689,0.0213660151287004,0.08949480836312393,0.0,0.0,3.916680794108028e-06,8.078288779604824e-08,0.005558071574531093,0.0,0.0,0.521799664286875,0.10284703502562381
exact,0,0,0,8,64,ID,8,1,0.0,0.7516771102609061,0.2625011535939359,0.951228496588879,0.06219593917816821,0.22584245819539933,0.09332704029067494,0.0766694316989742,0.059932435166423846,0.5795528456365096,0.27890485492992056,1.0,0.0,0.0,0.0,1.8905726719253835e-05,1.5538046965218704e-05,5.734336383511618e-07,3.2302549067763435e-07,0.02483629225753241,0.019093421446248315,0.0,0.0,1.0,0.0,0.18190401886005225,0.043099586948045825,0.06467233939645425,0.04153105869281738,0.19327120394226116,0.0,0.0,1.0767317207991176e-05,2.2384524465518177e-07,0.013231066025080944,0.0,0.0,0.2483228897390939,0.18190401886005225
exact,0,0,0,8,64,OOD,20,1,0.0,0.36880962589401267,0.20020904384389365,0.8541921840393444,0.1256407514542502,0.2056049726079455,0.11551518585872089,0.11817941507324572,0.05372829478282951,0.22780637910391718,0.13071857161229264,1.0,0.0,0.0,0.0,4.866098848310685e-06,3.264766859073548e-06,3.1699015607955515e-07,9.680099007576556e-08,0.03855204135179515,0.0113612177367011,0.0,0.0,1.0,0.0,0.08774548222205567,0.05506448715518836,0.05062676237066997,0.023547463412112602,0.057289939961165076,0.0,0.0,1.4308471630050782e-06,4.242490444334408e-08,0.004979273212622233,0.0,0.0,0.6311903741059873,0.08774548222205567
exact,0,0,0,12,144,All,28,1,0.0,0.7162087759267353,0.1803350956274239,0.9770027729132255,0.017428819023158418,0.3518789945769855,0.125523385090802,0.04463252435172238,0.03552774189848721,0.5194353152152337,0.21295502567354482,1.0,0.0,0.0,0.0,2.179538150163093e-05,1.9914690896054566e-05,6.848504300803273e-07,3.685115907645175e-07,0.032388629724404594,0.012600510500714814,0.0,0.0,1.0,0.0,0.06679705419621011,0.00645572490931604,0.04649451249425568,0.013159659758992168,0.07887964537230047,0.0,0.0,7.37650473667554e-06,1.364986034170808e-07,0.00466729440482891,0.0,0.0,0.28379122407326474,0.06679705419621011
exact,0,0,0,12,144,ID,8,1,0.0,0.8556596965905059,0.17213581148836282,0.9882365996318034,0.014227140586302998,0.2959947048792576,0.1618708687671477,0.031000090180896174,0.018844982456851136,0.7024713636861909,0.24513590155115225,1.0,0.0,0.0,0.0,4.14917333273479e-05,2.8338763576717977e-05,1.0246841384287109e-06,4.670377887091288e-07,0.02209286880679425,0.013932548429871575,0.0,0.0,1.0,0.0,0.11928403159670113,0.00985890543375982,0.1121707892021717,0.013058906588849345,0.1698705131331157,0.0,0.0,1.963776125762883e-05,3.23640675717263e-07,0.009654763484492733,0.0,0.0,0.1443403034094941,0.11928403159670113
exact,0,0,0,12,144,OOD,20,1,0.0,0.660428407661227,0.15438222120471123,0.9725092422257943,0.01681370495361205,0.37423271045607676,0.10438335103318228,0.050085498020052854,0.039411842946552415,0.44622089582685087,0.15018933732182485,1.0,0.0,0.0,0.0,1.3916840771344141e-05,6.2469602460160145e-06,5.489169467409738e-07,2.110496939710698e-07,0.036506934091448735,0.009571959738007793,0.0,0.0,1.0,0.0,0.06766099166170418,0.0073689310970606915,0.04574802065136602,0.017273001749619214,0.06582337927846033,0.0,0.0,2.737851041514801e-06,9.249660662056856e-08,0.004195096319806995,0.0,0.0,0.339571592338773,0.06766099166170418
exact,0,0,0,16,256,All,28,1,0.0,0.7597162475052789,0.18323512959343627,0.9831565676940054,0.017061072607480545,0.38878590312183264,0.1395746326326961,0.04784134045309781,0.03461207913276283,0.5446694129257647,0.18200928770531105,1.0,0.0,0.0,0.0,3.3876308163726666e-05,3.16129683340474e-05,1.0444944840466114e-06,4.5445143274614783e-07,0.02859089778004476,0.012058140879577966,0.0,0.0,1.0,0.0,0.06787124180968937,0.006319509730717375,0.05169916741910399,0.012820493524185005,0.06741718362011626,0.0,0.0,1.1709607338302902e-05,1.683311663604623e-07,0.004466397885760291,0.0,0.0,0.24028375249472111,0.06787124180968937
exact,0,0,0,16,256,ID,8,1,0.0,0.8827980750036187,0.08699780960067428,0.9936192157273545,0.006514993167943142,0.33250161029578923,0.1950458189169182,0.029783459263853687,0.011850120195051016,0.6807492703289741,0.17834728979886266,1.0,0.0,0.0,0.0,6.216602173480329e-05,4.819001677362581e-05,1.4933359011592984e-06,5.783058585388811e-07,0.019965629617217873,0.012798596220088434,0.0,0.0,1.0,0.0,0.06028640629467265,0.0045146599314678905,0.1351598567742715,0.0082117143408403,0.12358836646255779,0.0,0.0,3.3393977893201796e-05,4.00745514289296e-07,0.008868974693355184,0.0,0.0,0.11720192499638127,0.06028640629467265
exact,0,0,0,16,256,OOD,20,1,0.0,0.710483516505943,0.18971965260676737,0.9789715084806657,0.018261289175666526,0.41129962025225,0.1086298121197123,0.055064492928795464,0.03818978916476765,0.49023746996448087,0.15633742900144051,1.0,0.0,0.0,0.0,2.2560422735296015e-05,9.635081944490442e-06,8.649579172015365e-07,2.269714388497332e-07,0.03204100504517551,0.010120098016582845,0.0,0.0,1.0,0.0,0.08314830381968989,0.008003362854900003,0.047609114279410614,0.016737413065285853,0.06851789926025453,0.0,0.0,4.222760846545651e-06,9.947461897891226e-08,0.0044353285123918465,0.0,0.0,0.289516483494057,0.08314830381968989
exact,0,0,0,24,576,All,28,1,0.0,0.7681312057751996,0.15557013036956996,0.9825199993846339,0.014572867932702073,0.38617706654492284,0.1322674479553447,0.048303372226655435,0.03056276912292879,0.544834888677235,0.19422074781021523,1.0,0.0,0.0,0.0,5.9755787138518855e-05,5.241862367506276e-05,1.653136824383442e-06,6.993362982396003e-07,0.02809243356542923,0.011769929343286427,0.0,0.0,1.0,0.0,0.057623982694289054,0.005397865821448469,0.0489925483374629,0.011320608106745452,0.0719403717416751,0.0,0.0,1.9416129923749814e-05,2.5903778991194717e-07,0.004359642838759272,0.0,0.0,0.23186879422480045,0.057623982694289054
