seed,policy,scenario,z_scale,controller,hb_or_polynomial_depth,pcg_depth,examples,u_mse,u_mse_ci95_halfwidth,solver_u_mse,u_mse_over_pcg,jury_margin_min
0,joint_training,nominal,0.5,exact,40,16,4096,1.0558947017466456e-09,3.4846457792293086e-11,0.0,0.9998910329765599,0.651719331741333
0,joint_training,nominal,0.5,learned_hb,40,16,4096,1.0559182972097263e-09,3.48576899369876e-11,1.0958310298743568e-13,0.9999133769583171,0.651719331741333
0,joint_training,nominal,0.5,richardson_same_step,40,16,4096,1.0560316972319276e-09,3.487857611102389e-11,1.0822304933106318e-13,1.000020762349257,0.651719331741333
0,joint_training,nominal,0.5,oracle_richardson,40,16,4096,1.055849624124489e-09,3.4865656510076826e-11,1.0927615636943038e-13,0.9998483462293797,0.651719331741333
0,joint_training,nominal,0.5,oracle_chebyshev,40,16,4096,1.0557703314915774e-09,3.4856348154788694e-11,1.0782816022186029e-13,0.9997732592036581,0.651719331741333
0,joint_training,nominal,0.5,pcg,40,16,4096,1.0560097719882229e-09,3.4882227532868406e-11,1.1141572036751301e-13,1.0,0.651719331741333
1,joint_training,nominal,0.5,exact,40,16,4096,1.0430661585991035e-09,3.15694096871155e-11,0.0,0.9998900975235492,0.8833233118057251
1,joint_training,nominal,0.5,learned_hb,40,16,4096,1.043146733765258e-09,3.156049886699449e-11,1.0375032024420022e-13,0.9999673374091308,0.8833233118057251
1,joint_training,nominal,0.5,richardson_same_step,40,16,4096,1.0433314832537116e-09,3.157668200244626e-11,1.0550403999490902e-13,1.000144439486985,0.8833233118057251
1,joint_training,nominal,0.5,oracle_richardson,40,16,4096,1.0431864533000889e-09,3.1574685570268167e-11,1.0344217045663198e-13,1.0000054128171267,0.8833233118057251
1,joint_training,nominal,0.5,oracle_chebyshev,40,16,4096,1.0429701970294871e-09,3.1553234413351196e-11,1.0249942310314812e-13,0.9997981081301524,0.8833233118057251
1,joint_training,nominal,0.5,pcg,40,16,4096,1.0431808067531517e-09,3.157186544280011e-11,1.0376973191993685e-13,1.0,0.8833233118057251
2,joint_training,nominal,0.5,exact,40,16,4096,1.0424825477031687e-09,3.137915059164822e-11,0.0,1.000207493098886,0.9075716733932495
2,joint_training,nominal,0.5,learned_hb,40,16,4096,1.0423731362638249e-09,3.1378185541515357e-11,9.917006210580997e-14,1.000102518543961,0.9075716733932495
2,joint_training,nominal,0.5,richardson_same_step,40,16,4096,1.0424929777716902e-09,3.1383816964839104e-11,9.948639776505407e-14,1.0002175002042442,0.9075716733932495
2,joint_training,nominal,0.5,oracle_richardson,40,16,4096,1.0424001452256373e-09,3.13788746606369e-11,1.0016145558260912e-13,1.000128432230521,0.9075716733932495
2,joint_training,nominal,0.5,oracle_chebyshev,40,16,4096,1.0423135805213766e-09,3.137603900892427e-11,1.0024629111601074e-13,1.000045377923252,0.9075716733932495
2,joint_training,nominal,0.5,pcg,40,16,4096,1.0422662846419039e-09,3.137393994959547e-11,1.0327042967205995e-13,1.0,0.9075716733932495
mean,joint_training,nominal,0.5,exact,40,16,12288,1.0471478026829727e-09,NA,0.0,0.999995716848919,0.651719331741333
mean,joint_training,nominal,0.5,learned_hb,40,16,12288,1.0471460557462697e-09,NA,1.0416782844581529e-13,0.9999940485751412,0.651719331741333
mean,joint_training,nominal,0.5,richardson_same_step,40,16,12288,1.0472853860857765e-09,NA,1.0440449569700875e-13,1.0001271049998188,0.651719331741333
mean,joint_training,nominal,0.5,oracle_richardson,40,16,12288,1.0471454075500716e-09,NA,1.042932608028905e-13,0.9999934295666115,0.651719331741333
mean,joint_training,nominal,0.5,oracle_chebyshev,40,16,12288,1.0470180363474803e-09,NA,1.0352462481367305e-13,0.9998717937701033,0.651719331741333
mean,joint_training,nominal,0.5,pcg,40,16,12288,1.0471522877944262e-09,NA,1.0615196065316993e-13,1.0,0.651719331741333
0,joint_training,ood,1.0,exact,40,16,4096,2.265502889255391e-09,7.590837640649928e-11,0.0,1.0000279840651418,0.43867170810699463
0,joint_training,ood,1.0,learned_hb,40,16,4096,2.2845039476555585e-09,8.341217323522222e-11,1.62916169833777e-11,1.008415344865758,0.43867170810699463
0,joint_training,ood,1.0,richardson_same_step,40,16,4096,2.3008574052807006e-09,9.57597147236943e-11,3.149849647789895e-11,1.0156340137709832,0.43867170810699463
0,joint_training,ood,1.0,oracle_richardson,40,16,4096,2.2104560509138578e-08,3.887655902163995e-08,1.9832798775399994e-08,9.757294589840566,0.43867170810699463
0,joint_training,ood,1.0,oracle_chebyshev,40,16,4096,2.265261729725708e-09,7.591153894205873e-11,1.555128502172533e-13,0.9999215325221087,0.43867170810699463
0,joint_training,ood,1.0,pcg,40,16,4096,2.2654394930490427e-09,7.590353374487035e-11,1.58736899886192e-13,1.0,0.43867170810699463
1,joint_training,ood,1.0,exact,40,16,4096,2.2326327319283225e-09,7.816633802546583e-11,0.0,0.9999452574332334,0.8504170179367065
1,joint_training,ood,1.0,learned_hb,40,16,4096,2.236999663813598e-09,7.863316292713818e-11,1.0877535032175824e-12,1.0019011065819843,0.8504170179367065
1,joint_training,ood,1.0,richardson_same_step,40,16,4096,2.2457259066457636e-09,7.976459296286415e-11,4.2098192742124505e-12,1.005809391635074,0.8504170179367065
1,joint_training,ood,1.0,oracle_richardson,40,16,4096,2.2335437159156106e-09,7.821584957964219e-11,1.5078870780465634e-13,1.0003532663747217,0.8504170179367065
1,joint_training,ood,1.0,oracle_chebyshev,40,16,4096,2.2331785318431216e-09,7.819654123642033e-11,1.467674756861301e-13,1.000189708761258,0.8504170179367065
1,joint_training,ood,1.0,pcg,40,16,4096,2.232754958665721e-09,7.814616878965153e-11,1.5264292382953995e-13,1.0,0.8504170179367065
2,joint_training,ood,1.0,exact,40,16,4096,2.137646187195898e-09,6.958740282590897e-11,0.0,0.9999089412005775,0.8148140907287598
2,joint_training,ood,1.0,learned_hb,40,16,4096,2.336606163799208e-09,4.002418794474636e-10,1.8379744415170624e-10,1.0929747912642278,0.8148140907287598
2,joint_training,ood,1.0,richardson_same_step,40,16,4096,2.656017643259693e-09,1.0187752204014796e-09,4.920600971172895e-10,1.2423832369404508,0.8148140907287598
2,joint_training,ood,1.0,oracle_richardson,40,16,4096,2.1391667427906507e-09,6.980014510770183e-11,9.240739110916757e-13,1.000620198818369,0.8148140907287598
2,joint_training,ood,1.0,oracle_chebyshev,40,16,4096,2.1374564746805204e-09,6.95567695472855e-11,1.461067054987338e-13,0.9998202009583802,0.8148140907287598
2,joint_training,ood,1.0,pcg,40,16,4096,2.13784085641764e-09,6.957198960925648e-11,1.506395672784556e-13,1.0,0.8148140907287598
mean,joint_training,ood,1.0,exact,40,16,12288,2.2119272694598704e-09,NA,0.0,0.9999617995171782,0.43867170810699463
mean,joint_training,ood,1.0,learned_hb,40,16,12288,2.2860365917561214e-09,NA,6.705893821276717e-11,1.0334649315177407,0.43867170810699463
mean,joint_training,ood,1.0,richardson_same_step,40,16,12288,2.4008669850620525e-09,NA,1.759228042898003e-10,1.0853771296785344,0.43867170810699463
mean,joint_training,ood,1.0,oracle_richardson,40,16,12288,8.825756989281613e-09,NA,6.611291212672964e-09,3.9899231602033782,0.43867170810699463
mean,joint_training,ood,1.0,oracle_chebyshev,40,16,12288,2.2119655787497834e-09,NA,1.4946234380070572e-13,0.9999791182721882,0.43867170810699463
mean,joint_training,ood,1.0,pcg,40,16,12288,2.212011769377468e-09,NA,1.540064636647292e-13,1.0,0.43867170810699463
0,tail_calibrated,nominal,0.5,exact,40,16,4096,1.0558947017466456e-09,3.4846457792293086e-11,0.0,0.9998910329765599,0.6407902240753174
0,tail_calibrated,nominal,0.5,learned_hb,40,16,4096,1.0559926791352448e-09,3.4875649122210483e-11,1.1011219141990782e-13,0.9999838137359791,0.6407902240753174
0,tail_calibrated,nominal,0.5,richardson_same_step,40,16,4096,1.0558594349149408e-09,3.48657658201487e-11,1.0821502012749873e-13,0.9998576366646693,0.6407902240753174
0,tail_calibrated,nominal,0.5,oracle_richardson,40,16,4096,1.055849624124489e-09,3.4865656510076826e-11,1.0927615636943038e-13,0.9998483462293797,0.6407902240753174
0,tail_calibrated,nominal,0.5,oracle_chebyshev,40,16,4096,1.0557703314915774e-09,3.4856348154788694e-11,1.0782816022186029e-13,0.9997732592036581,0.6407902240753174
0,tail_calibrated,nominal,0.5,pcg,40,16,4096,1.0560097719882229e-09,3.4882227532868406e-11,1.1141572036751301e-13,1.0,0.6407902240753174
1,tail_calibrated,nominal,0.5,exact,40,16,4096,1.0430661585991035e-09,3.15694096871155e-11,0.0,0.9998900975235492,0.876234769821167
1,tail_calibrated,nominal,0.5,learned_hb,40,16,4096,1.043072474224142e-09,3.1557699100564776e-11,1.0289559709805268e-13,0.9998961517233557,0.876234769821167
1,tail_calibrated,nominal,0.5,richardson_same_step,40,16,4096,1.043287568571369e-09,3.156795551888685e-11,1.0547122609073362e-13,1.0001023425829216,0.876234769821167
1,tail_calibrated,nominal,0.5,oracle_richardson,40,16,4096,1.0431864533000889e-09,3.1574685570268167e-11,1.0344217045663198e-13,1.0000054128171267,0.876234769821167
1,tail_calibrated,nominal,0.5,oracle_chebyshev,40,16,4096,1.0429701970294871e-09,3.1553234413351196e-11,1.0249942310314812e-13,0.9997981081301524,0.876234769821167
1,tail_calibrated,nominal,0.5,pcg,40,16,4096,1.0431808067531517e-09,3.157186544280011e-11,1.0376973191993685e-13,1.0,0.876234769821167
2,tail_calibrated,nominal,0.5,exact,40,16,4096,1.0424825477031687e-09,3.137915059164822e-11,0.0,1.000207493098886,0.9063520431518555
2,tail_calibrated,nominal,0.5,learned_hb,40,16,4096,1.0424071247919457e-09,3.137360822047332e-11,9.922953331019116e-14,1.0001351287594324,0.9063520431518555
2,tail_calibrated,nominal,0.5,richardson_same_step,40,16,4096,1.0423952680891245e-09,3.138207628686704e-11,1.0089266410190585e-13,1.0001237528730627,0.9063520431518555
2,tail_calibrated,nominal,0.5,oracle_richardson,40,16,4096,1.0424001452256373e-09,3.13788746606369e-11,1.0016145558260912e-13,1.000128432230521,0.9063520431518555
2,tail_calibrated,nominal,0.5,oracle_chebyshev,40,16,4096,1.0423135805213766e-09,3.137603900892427e-11,1.0024629111601074e-13,1.000045377923252,0.9063520431518555
2,tail_calibrated,nominal,0.5,pcg,40,16,4096,1.0422662846419039e-09,3.137393994959547e-11,1.0327042967205995e-13,1.0,0.9063520431518555
mean,tail_calibrated,nominal,0.5,exact,40,16,12288,1.0471478026829727e-09,NA,0.0,0.999995716848919,0.6407902240753174
mean,tail_calibrated,nominal,0.5,learned_hb,40,16,12288,1.0471574260504442e-09,NA,1.0407910727605055e-13,1.0000049068851569,0.6407902240753174
mean,tail_calibrated,nominal,0.5,richardson_same_step,40,16,12288,1.0471807571918115e-09,NA,1.048596367733794e-13,1.0000271874470572,0.6407902240753174
mean,tail_calibrated,nominal,0.5,oracle_richardson,40,16,12288,1.0471454075500716e-09,NA,1.042932608028905e-13,0.9999934295666115,0.6407902240753174
mean,tail_calibrated,nominal,0.5,oracle_chebyshev,40,16,12288,1.0470180363474803e-09,NA,1.0352462481367305e-13,0.9998717937701033,0.6407902240753174
mean,tail_calibrated,nominal,0.5,pcg,40,16,12288,1.0471522877944262e-09,NA,1.0615196065316993e-13,1.0,0.6407902240753174
0,tail_calibrated,ood,1.0,exact,40,16,4096,2.265502889255391e-09,7.590837640649928e-11,0.0,1.0000279840651418,0.42452001571655273
0,tail_calibrated,ood,1.0,learned_hb,40,16,4096,2.2816831888516155e-09,8.169469021382324e-11,1.3870043995453013e-11,1.0071702183405968,0.42452001571655273
0,tail_calibrated,ood,1.0,richardson_same_step,40,16,4096,2.2974580316941244e-09,9.287564501558311e-11,2.822093726689122e-11,1.0141334777394508,0.42452001571655273
0,tail_calibrated,ood,1.0,oracle_richardson,40,16,4096,2.2104560509138578e-08,3.887655902163995e-08,1.9832798775399994e-08,9.757294589840566,0.42452001571655273
0,tail_calibrated,ood,1.0,oracle_chebyshev,40,16,4096,2.265261729725708e-09,7.591153894205873e-11,1.555128502172533e-13,0.9999215325221087,0.42452001571655273
0,tail_calibrated,ood,1.0,pcg,40,16,4096,2.2654394930490427e-09,7.590353374487035e-11,1.58736899886192e-13,1.0,0.42452001571655273
1,tail_calibrated,ood,1.0,exact,40,16,4096,2.2326327319283225e-09,7.816633802546583e-11,0.0,0.9999452574332334,0.8427966833114624
1,tail_calibrated,ood,1.0,learned_hb,40,16,4096,2.2365062134233217e-09,7.854228455370272e-11,7.808736447273712e-13,1.0016801014115058,0.8427966833114624
1,tail_calibrated,ood,1.0,richardson_same_step,40,16,4096,2.2435444698874416e-09,7.944713059278366e-11,3.3634435566143116e-12,1.0048323758860527,0.8427966833114624
1,tail_calibrated,ood,1.0,oracle_richardson,40,16,4096,2.2335437159156106e-09,7.821584957964219e-11,1.5078870780465634e-13,1.0003532663747217,0.8427966833114624
1,tail_calibrated,ood,1.0,oracle_chebyshev,40,16,4096,2.2331785318431216e-09,7.819654123642033e-11,1.467674756861301e-13,1.000189708761258,0.8427966833114624
1,tail_calibrated,ood,1.0,pcg,40,16,4096,2.232754958665721e-09,7.814616878965153e-11,1.5264292382953995e-13,1.0,0.8427966833114624
2,tail_calibrated,ood,1.0,exact,40,16,4096,2.137646187195898e-09,6.958740282590897e-11,0.0,0.9999089412005775,0.8133045434951782
2,tail_calibrated,ood,1.0,learned_hb,40,16,4096,2.326659317031937e-09,3.8098476113673183e-10,1.742034286722759e-10,1.0883220376519038,0.8133045434951782
2,tail_calibrated,ood,1.0,richardson_same_step,40,16,4096,2.640430530690812e-09,9.883082997646513e-10,4.768411618540368e-10,1.2350921832017734,0.8133045434951782
2,tail_calibrated,ood,1.0,oracle_richardson,40,16,4096,2.1391667427906507e-09,6.980014510770183e-11,9.240739110916757e-13,1.000620198818369,0.8133045434951782
2,tail_calibrated,ood,1.0,oracle_chebyshev,40,16,4096,2.1374564746805204e-09,6.95567695472855e-11,1.461067054987338e-13,0.9998202009583802,0.8133045434951782
2,tail_calibrated,ood,1.0,pcg,40,16,4096,2.13784085641764e-09,6.957198960925648e-11,1.506395672784556e-13,1.0,0.8133045434951782
mean,tail_calibrated,ood,1.0,exact,40,16,12288,2.2119272694598704e-09,NA,0.0,0.9999617995171782,0.42452001571655273
mean,tail_calibrated,ood,1.0,learned_hb,40,16,12288,2.281616239768958e-09,NA,6.295144877081877e-11,1.0314665913423595,0.42452001571655273
mean,tail_calibrated,ood,1.0,richardson_same_step,40,16,12288,2.3938110107574594e-09,NA,1.694751808925141e-10,1.082187284849373,0.42452001571655273
mean,tail_calibrated,ood,1.0,oracle_richardson,40,16,12288,8.825756989281613e-09,NA,6.611291212672964e-09,3.9899231602033782,0.42452001571655273
