design,method,seeds,solver_hvps,setup_block_hvp_rounds,total_scalar_hvp_equivalent,h_relative_mean,h_relative_std,predicted_h_relative_mean,predicted_h_relative_std,query_relative_mean,query_relative_std,coefficient_mse_mean,coefficient_mse_std,statistical_query_mse_mean,statistical_query_mse_std
pde_elliptic_correlated,identity_pcg,3,8,0,8,2.1924631710135145e-06,4.404681064329452e-08,nan,nan,5.47408319562237e-07,2.506529916956879e-08,7.44211720302701e-05,1.7882350675790804e-06,0.0008331092540174723,2.3134349248721264e-05
pde_elliptic_correlated,identity_pcg_equal_work,3,20,0,20,4.739255032859546e-08,7.456182338216877e-10,nan,nan,8.585532285110276e-09,1.2378813529778654e-09,1.1114555491076317e-05,1.0436752262421578e-07,0.0008328447584062815,2.3564471121062525e-05
pde_elliptic_correlated,identity_pcg_ritz_equal_work,3,28,0,28,4.739255032859546e-08,7.456182338216877e-10,nan,nan,8.585532285110276e-09,1.2378813529778654e-09,1.1114555491076317e-05,1.0436752262421578e-07,0.0008328447584062815,2.3564471121062525e-05
pde_elliptic_correlated,initial_moment_chebyshev,3,8,3,20,4724177873403904.0,3384937008857088.0,nan,nan,7808564076740608.0,5516782412496896.0,2.133578476630835e+16,1.4148554280927232e+16,7699965291790336.0,5435508209483776.0
pde_elliptic_correlated,learned_moment_chebyshev,3,8,3,20,0.00015091274690348655,0.00012212060391902924,0.00015089607040863484,0.0001221260754391551,6.0539543483173475e-05,2.5419776648050174e-05,0.002072356641292572,0.0015069840010255575,0.0008891639881767333,7.809656381141394e-06
pde_elliptic_correlated,learned_moment_guarded_pcg,3,8,3,20,3.403809216706577e-07,3.0340874701551e-08,nan,nan,1.7944842056749621e-07,1.307337527123309e-08,5.498068640008569e-05,8.337327926710714e-06,0.0008334807935170829,2.4912096705520526e-05
pde_elliptic_correlated,oracle_interval_chebyshev,3,8,3,20,0.07791966944932938,0.00016689514450263232,0.07794436067342758,0.0001671213103691116,0.07566292583942413,0.0020388741977512836,0.010084938257932663,6.903414032422006e-05,0.07423943281173706,0.0019200514070689678
pde_elliptic_correlated,oracle_interval_hb,3,8,3,20,0.8646400570869446,0.0026592211797833443,0.8648949265480042,0.002662567887455225,0.8305063247680664,0.029585201293230057,0.1086914911866188,0.0008732970454730093,0.8077331185340881,0.02473289892077446
pde_elliptic_correlated,oracle_interval_richardson,3,8,3,20,0.37823572754859924,0.0007287361659109592,0.37827154994010925,0.000729293329641223,0.37343576550483704,0.0057229166850447655,0.04945988953113556,0.00027211441192775965,0.36344122886657715,0.007185561582446098
pde_elliptic_correlated,ritz_moment_chebyshev,3,8,5,28,9.67572213994572e-06,1.1943767219690926e-07,8.99953465705039e-06,1.0709539566278181e-07,8.998485100164544e-06,4.193263976048911e-07,5.216865611146204e-05,1.2356730394458282e-06,0.0008391050505451858,2.353100171603728e-05
pde_elliptic_correlated,same_preconditioner_pcg,3,8,3,20,1.8112741528852894e-08,3.214704613618835e-10,nan,nan,3.0519344829116335e-09,6.495568666275986e-11,3.3575242923689075e-06,9.987120108689851e-08,0.0008328745025210083,2.354867865506094e-05
