refinements,method,seeds,h_relative_mean,h_relative_std,query_relative_mean,query_relative_std,coefficient_mse_mean,coefficient_mse_std,statistical_query_mse_mean,statistical_query_mse_std
2,identity_pcg,3,2.1924631710135145e-06,4.404681064329452e-08,5.47408319562237e-07,2.506529916956879e-08,7.44211720302701e-05,1.7882350675790804e-06,0.0008331092540174723,2.3134349248721264e-05
2,identity_pcg_equal_work,3,4.739255032859546e-08,7.456182338216877e-10,8.585532285110276e-09,1.2378813529778654e-09,1.1114555491076317e-05,1.0436752262421578e-07,0.0008328447584062815,2.3564471121062525e-05
2,initial_head_pcg,3,1.8112741528852894e-08,3.214704613618835e-10,3.0519344829116335e-09,6.495568666275986e-11,3.3575242923689075e-06,9.987120108689851e-08,0.0008328745025210083,2.354867865506094e-05
2,initial_head_ritz_moment_chebyshev,3,9.67572213994572e-06,1.1943767219690926e-07,8.998485100164544e-06,4.193263976048911e-07,5.216865611146204e-05,1.2356730394458282e-06,0.0008391050505451858,2.353100171603728e-05
2,jacobi_pcg_equal_work,3,1.0333652511462788e-07,8.15421008493189e-10,6.493366289106461e-09,9.11995146068989e-10,2.1957566787023097e-05,3.4951463590005005e-07,0.0008328951080329716,2.3515034627052955e-05
2,oracle_prompt_esd_polynomial,3,1.7266511775915205e-08,3.0607708034757763e-10,3.0320406185779802e-09,7.547459185408556e-11,3.187398078807746e-06,1.0088534452279418e-07,0.0008328718249686062,2.3554710423923098e-05
2,oracle_top_pcg,3,1.8115441591248782e-08,3.2749211675842105e-10,3.0596616351630246e-09,5.850473577817539e-11,3.357788273206097e-06,1.0186023047253911e-07,0.0008328715921379626,2.355164360778872e-05
2,trained_head_oracle_chebyshev,3,0.07783691585063934,0.0002802012022584677,0.07548349350690842,0.0018966769566759467,0.010082379914820194,5.416362182586454e-05,0.07403767108917236,0.0016624799463897943
2,trained_head_oracle_hb,3,0.8637247681617737,0.003623605938628316,0.8291199803352356,0.02759869582951069,0.10868266224861145,0.00072823790833354,0.8063070178031921,0.02166008949279785
2,trained_head_pcg,3,1.811319627620378e-08,3.205960219521131e-10,3.055658837070041e-09,6.531442053869796e-11,3.357520881763776e-06,1.0087081392384789e-07,0.0008328736876137555,2.354994649067521e-05
2,trained_head_ritz_moment_chebyshev,3,9.945347301254515e-06,2.911721423970448e-07,1.0332977581128944e-05,6.817757594035356e-07,5.448865704238415e-05,4.452647772268392e-06,0.000843568705022335,2.3752923880238086e-05
