trained_head,evaluation_cell,seeds,predicted_h_relative_mean,predicted_h_relative_std,realized_h_relative_mean,realized_h_relative_std,mean_absolute_gap_mean,mean_absolute_gap_std
heavy_ball,learned_global_heavy_ball,3,0.10358341193447511,0.0015987711033702823,0.10358347402264674,0.0015987780380624498,2.945569879860462e-07,5.137773607780985e-09
heavy_ball,learned_global_richardson,3,0.1988802527387937,0.0028409584302626334,0.1988804011295239,0.0028409660543798074,3.8413334853733733e-07,2.447519162884372e-09
heavy_ball,oracle_interval_heavy_ball,3,3.6937516828378043,0.12635909300517262,3.69365002711614,0.12635464422800674,0.00010296946281111256,4.697237230503181e-06
heavy_ball,oracle_interval_richardson,3,0.3044524205227693,0.004434285302153984,0.304449172069629,0.00443424068263397,3.410955107104504e-06,9.661743488159714e-08
identity,learned_global_heavy_ball,3,1.6029658541437605e+22,4.169563668824975e+20,1.6029517710124258e+22,4.1695392939831794e+20,1.4204216484421086e+17,5993294265810187.0
identity,learned_global_richardson,3,1.2066476390982455e+21,4.411940762015209e+19,1.2066370046217817e+21,4.411919091687304e+19,1.0726263538843648e+16,398938629181286.8
identity,oracle_interval_heavy_ball,3,15.646733244260153,0.10336447621300066,15.646266539891561,0.10336219282293671,0.0004680246371814671,2.8149386964890816e-06
identity,oracle_interval_richardson,3,0.5821956296761831,0.0005373692173141264,0.5821869845191637,0.0005373310109946046,8.693422159922193e-06,3.839966441216117e-08
initial,learned_global_heavy_ball,3,0.14759782329201698,0.00047980249396879245,0.14759783012171587,0.00047980581845144684,4.057398352112311e-07,4.998739405898148e-09
initial,learned_global_richardson,3,0.23363722612460455,0.0005079826841106368,0.23363734098772207,0.000507983601466039,3.8371535993064754e-07,6.158409925725323e-09
initial,oracle_interval_heavy_ball,3,8.98811443646749,0.0871395260065236,8.987863461176554,0.08713439118483948,0.00025242473869487486,4.8816264120853e-06
initial,oracle_interval_richardson,3,0.481790858010451,0.0035326818686787524,0.4817856388787429,0.003532595592658742,5.3648201969735965e-06,7.516270086724991e-08
pcg,learned_global_heavy_ball,3,0.10658541849503915,0.0026403718990089626,0.10658546847601731,0.0026403754576094906,2.9437971231042564e-07,1.9025455785929045e-09
pcg,learned_global_richardson,3,0.20183387895425162,0.004013204200517163,0.20183401616911092,0.004013209943057279,3.8307265034139465e-07,4.347450988648178e-09
pcg,oracle_interval_heavy_ball,3,3.9220814804236093,0.05834558919216575,3.9219731092453003,0.05834360608271207,0.00010948081126116449,2.0428234463638988e-06
pcg,oracle_interval_richardson,3,0.31557462612787884,0.004600439286383835,0.31557127212484676,0.004600425453182888,3.526281849038545e-06,3.416237330984051e-08
richardson,learned_global_heavy_ball,3,0.14064058475196362,0.0026070369119101547,0.1406406071037054,0.002607037553223452,3.817013597047965e-07,6.061612386249987e-09
richardson,learned_global_richardson,3,0.21509532940884432,0.0018311042978592378,0.21509544178843498,0.0018311038551264219,3.642902962989562e-07,5.300794910971319e-09
richardson,oracle_interval_heavy_ball,3,8.57811439037323,0.2573414181454231,8.577874720096588,0.25733543620581173,0.0002413006156227008,5.9940237131799145e-06
richardson,oracle_interval_richardson,3,0.46654463435212773,0.006100583807765441,0.4665394698580106,0.0061005872232101285,5.319268344313362e-06,1.2879129967943523e-08
