name,class,factor,rank,N,bs,L,final_test_error,output_even_defect,last_layer_active_even_mean,mirror_distance_median,mirror_mismatch_median,mirror_corr_median
rank5_f1_N256_bs2_L2,output-only/asymmetric,1,5,256,2,2,3.6046840250492096e-05,6.680950900772586e-05,0.046040166169404984,0.029647477324581596,0.8979030973253188,0.11207615786912953
rank5_f1_N256_bs4_L2,output-only/asymmetric,1,5,256,4,2,4.275942774256691e-05,6.588418909814209e-05,0.10420957952737808,0.029647477324581596,0.8319835317783416,0.17664103467539316
rank5_f1_N256_bs1_L2,intermediate,1,5,256,1,2,9.143767965724692e-05,3.220686994609423e-05,0.0041558523662388325,0.029647477324581596,1.0053698909375597,-0.0054359925677124115
rank5_f1_N128_bs2_L2,output-only/asymmetric,1,5,128,2,2,9.36403448577039e-05,3.316959191579372e-05,0.4250697195529938,0.029647477324581596,0.893028902933174,0.11638254929222912
rank5_f1_N256_bs4_L1,output-only/asymmetric,1,5,256,4,1,0.00011081447155447677,0.0001906700199469924,2.0240261554718018,0.03161361325278559,0.7699605956700393,0.2485227090583389
rank5_f1_N256_bs2_L1,output-only/asymmetric,1,5,256,2,1,0.00011445453128544614,0.0001233086222782731,2.011814594268799,0.03161361325278559,0.7314225940838011,0.28830091438108046
rank5_f1_N256_bs8_L2,output-only/asymmetric,1,5,256,8,2,0.00017898417718242854,7.686596654821187e-05,0.05262470245361328,0.029647477324581596,0.8828411355825371,0.13299325610765347
rank5_f1_N128_bs4_L2,output-only/asymmetric,1,5,128,4,2,0.0003350280749145895,0.0002850301389116794,0.4448185861110687,0.029647477324581596,0.8784213157815878,0.13846028168519242
rank5_f1_N256_bs1_L1,output-only/asymmetric,1,5,256,1,1,0.0003517740697134286,0.00012915980187244713,0.6651774644851685,0.03161361325278559,0.7725612591355224,0.24445804847107583
rank5_f1_N16_bs16_L2,output-only/asymmetric,1,5,16,16,2,0.0003901784657500684,0.0002557286061346531,0.28025805950164795,0.029647477324581596,0.9046413000069471,0.10166912871787288
rank5_f1_N128_bs8_L2,output-only/asymmetric,1,5,128,8,2,0.0004424038343131542,0.0002992972149513662,0.26772645115852356,0.029647477324581596,0.8883065645177441,0.1262501865863291
rank5_f1_N64_bs2_L2,output-only/asymmetric,1,5,64,2,2,0.0005906072910875082,0.00022668216843158007,0.4767942428588867,0.029647477324581596,0.9401918216483536,0.0620232991138306
