name,dim,target,model,depth,width,rank,freq,n_train,batch_size,epochs,lr,optimizer,seed,train_distribution,train_mse,test_mse,best_train_mse,best_test_mse,best_epoch_loss,train_asymmetry_score,output_neg_defect,best_output_neg_defect,last_partial_neg_defect,best_last_partial_neg_defect,output_flip_first_defect,last_partial_flip_first_defect,output_reverse_defect,last_partial_reverse_defect,output_rot90_2d_defect,last_partial_rot90_2d_defect,mirror_distance_median,mirror_mismatch_median,mirror_corr_median,all_layer_mirror_distance_median,all_layer_mirror_mismatch_median,all_layer_mirror_corr_median,last_layer_mirror_distance_median,last_layer_mirror_mismatch_median,last_layer_mirror_corr_median
mmnn_d2_quadratic_f1_r8_w256_L3_N128_bs1_positive_bias_adam_s314,2,quadratic,mmnn,3,256,8,1,128,1,1200,0.001,adam,314,positive_bias,1.686637688180781e-06,5.355715620680712e-05,2.2211249870451866e-06,4.818404704565182e-05,1.0415786364306734e-06,0.2196550079388544,0.00021654542069882154,0.00020203231542836875,0.003539822530001402,0.0056990631856024265,0.00017806583491619676,0.004129643086344004,0.0001353403931716457,0.0027946196496486664,0.00017721235053613782,0.004475828260183334,0.13296189482603465,0.5685808249263672,0.5285287033116164,0.31095094428667147,0.8964447349311443,0.12767983604282046,0.3664661418907714,1.0026271019947308,-0.00018114891147802403
mmnn_d2_gaussian_f1_r8_w256_L3_N128_bs1_positive_bias_adam_s314,2,gaussian,mmnn,3,256,8,1,128,1,1200,0.001,adam,314,positive_bias,1.7394497717759805e-06,3.1938383472152054e-05,8.119078529489343e-07,3.0880419217282906e-05,6.697265218166826e-07,0.2196550079388544,0.00018305292178411037,0.00019342763698659837,0.006652797106653452,0.0069989715702831745,0.0001484625245211646,0.004000592976808548,0.00011293937131995335,0.002067537745460868,0.00015460407303180546,0.005342497024685144,0.13296189482603465,0.7028797151431074,0.3563256959801948,0.31095094428667147,0.9554033691508999,-0.15727732097646852,0.3664661418907714,1.1296051581121231,-0.999999964340422
mmnn_d2_gaussian_f1_r128_w256_L3_N128_bs1_positive_bias_adam_s314,2,gaussian,mmnn,3,256,128,1,128,1,1200,0.001,adam,314,positive_bias,7.463801239282475e-07,0.00010626710718497634,5.151642312739568e-07,0.00010074616875499487,4.30745956426018e-07,0.2196550079388544,0.0005825717817060649,0.00057042675325647,0.0032693706452846527,0.0032628001645207405,0.0004833302227780223,0.002640938851982355,0.0005792399169877172,0.0022236325312405825,0.0006121121114119887,0.0029594777151942253,0.12201565506391998,0.3207267964201458,0.7516962918600818,0.558880578712346,0.803084063048454,-0.019659842321400722,0.7079889661670857,1.0526425058780315,-0.9999995051475895
mlp_d2_gaussian_f1_r0_w256_L3_N128_bs1_positive_bias_adam_s314,2,gaussian,mlp,3,256,0,1,128,1,1200,0.001,adam,314,positive_bias,3.2965709806376253e-07,7.76199740357697e-05,2.003916961257346e-07,7.689440826652572e-05,2.4650366019229875e-07,0.2196550079388544,0.00043257870129309595,0.00041456680628471076,0.8326175212860107,0.8322441577911377,0.00036481121787801385,0.8414808511734009,0.00015912498929537833,0.40458381175994873,0.000381980964448303,0.661705493927002,nan,nan,nan,nan,nan,nan,nan,nan,nan
mmnn_d2_quadratic_f1_r128_w256_L3_N128_bs1_positive_bias_adam_s314,2,quadratic,mmnn,3,256,128,1,128,1,1200,0.001,adam,314,positive_bias,1.4081535937293665e-06,6.706832209601998e-05,8.430071147813578e-07,6.617614417336881e-05,1.006754659971243e-06,0.2196550079388544,0.0002166359918192029,0.00021013223158661276,0.0003998401516582817,0.00038893119199201465,0.00021614099387079477,0.00038075403426773846,0.00017703216872178018,0.0003793927317019552,0.00023032243188936263,0.00040049111703410745,0.12201565506391998,0.3332800462198124,0.7611687792239195,0.558880578712346,0.8138613535757585,-0.019952916660286257,0.7079889661670857,1.06822218376058,-0.9999986566161857
mlp_d2_quadratic_f1_r0_w256_L3_N128_bs1_positive_bias_adam_s314,2,quadratic,mlp,3,256,0,1,128,1,1200,0.001,adam,314,positive_bias,7.459822199962218e-07,0.00013305303582455963,8.031298648347729e-07,0.00013355111877899617,7.843242834128239e-07,0.2196550079388544,0.0003654578176792711,0.000363326194928959,0.9767859578132629,0.9765838980674744,0.00044333169353194535,0.7818343639373779,0.00022811873350292444,0.35049664974212646,0.00041526774293743074,0.9337996244430542,nan,nan,nan,nan,nan,nan,nan,nan,nan
mmnn_d3_gaussian_f1_r8_w256_L3_N128_bs1_positive_bias_adam_s314,3,gaussian,mmnn,3,256,8,1,128,1,1200,0.001,adam,314,positive_bias,3.5404395930527244e-06,0.0006613748846575618,8.097372869997344e-07,0.0006218695198185742,1.0896650298394817e-06,0.5378348825033754,0.006035155616700649,0.00592657970264554,0.013661263510584831,0.013614458963274956,0.0045477221719920635,0.008972782641649246,0.0017665161285549402,0.0074741472490131855,,,0.19564319996959567,0.747046472206202,0.33831771946060163,0.32736017373034226,0.9340854211481099,0.33538839869264503,0.37359571494974175,0.9911961428507268,0.9999992282417205
mmnn_d3_gaussian_f1_r128_w256_L3_N128_bs1_positive_bias_adam_s314,3,gaussian,mmnn,3,256,128,1,128,1,1200,0.001,adam,314,positive_bias,1.2192835185942386e-07,0.00036205476499162614,7.171874472078343e-08,0.0003687464923132211,4.391932708659729e-08,0.5378348825033754,0.003388885874301195,0.0033747809939086437,0.013617036864161491,0.013466333970427513,0.0022539410274475813,0.007773949299007654,0.0009429840720258653,0.004871433135122061,,,0.17444575206338347,0.37838907148331,0.6815941698127291,0.5715593029326712,0.8361894212103306,-0.04929583783688818,0.7081469144552217,1.079241786770829,-0.9999998302806573
mlp_d3_gaussian_f1_r0_w256_L3_N128_bs1_positive_bias_adam_s314,3,gaussian,mlp,3,256,0,1,128,1,1200,0.001,adam,314,positive_bias,4.929752606130933e-08,0.0010295246029272676,8.63524896033141e-09,0.0010262451833114028,8.80992031106545e-09,0.5378348825033754,0.00876101665198803,0.008736766874790192,1.498011827468872,1.4975544214248657,0.006739985663443804,1.5362266302108765,0.001816769945435226,0.9806102514266968,,,nan,nan,nan,nan,nan,nan,nan,nan,nan
mmnn_d3_quadratic_f1_r8_w256_L3_N128_bs1_positive_bias_adam_s314,3,quadratic,mmnn,3,256,8,1,128,1,1200,0.001,adam,314,positive_bias,1.5824474530745647e-06,0.0029171681962907314,2.3672439510846743e-06,0.0028923419304192066,1.4566781522552114e-06,0.5378348825033754,0.018810901790857315,0.018837841227650642,0.04521065950393677,0.04275947064161301,0.011335114948451519,0.02595672383904457,0.008646522648632526,0.021729307249188423,,,0.19564319996959567,0.6816320691104032,0.46968082244301157,0.32736017373034226,0.9728342724391374,-0.1632861164551342,0.37359571494974175,1.1065935050318814,-0.9999999741801207
