task,dimension,rank,test_mse,recovery_slope,high_low_ratio
sparse,1,1,0.9257299956155671,-0.29044943820224717,0.36337900980565485
sparse,1,2,0.5085793585071811,-0.25493827160493826,0.47282666428950554
sparse,1,3,0.318606206594225,-0.25493827160493826,0.49084326155259933
sparse,1,4,0.24951243004206863,-0.29044943820224717,0.47775181184522014
sparse,1,5,0.26667701569381375,-0.34523809523809523,0.45447636896637644
sparse,1,6,0.29905832919851716,-0.41493798449612407,0.4275799856484324
sparse,1,7,0.31156014541606625,-0.4755010938048017,0.39946820227065544
sparse,1,8,0.3131898620109649,-0.5257383998342872,0.37120873777918695
sparse,1,9,0.3216167486882532,-0.5667545730664988,0.34338453798050445
sparse,1,10,0.3368871506772296,-0.6004190621769657,0.3163646499722793
sparse,1,11,0.34484593304180955,-0.6284839193534069,0.2903991207946492
sparse,1,12,0.3398346060177255,-0.652346225836723,0.2656585699321834
sparse,1,13,0.33332068621050515,-0.6730539037316051,0.2422548893223803
sparse,1,14,0.33727013671134043,-0.6913756067325151,0.22025450453803422
sparse,1,15,0.3474372908506697,-0.7078725995921709,0.19968805473953158
sparse,1,16,0.3504576562859418,-0.7229564560536687,0.18055796243092842
sparse,1,17,0.34350166791579023,-0.736931591574639,0.1628445561709858
sparse,1,18,0.33789746442302554,-0.750025582916356,0.14651110341552356
sparse,1,19,0.34234532170050724,-0.7624105368731534,0.13150797680964374
sparse,1,20,0.3506457308941826,-0.774218142330687,0.11777610932728759
sparse,1,21,0.35126478094930225,-0.7855503269198418,0.10524985458323913
sparse,1,22,0.3440942555861494,-0.7964868627708134,0.09385934391580984
sparse,1,23,0.34013097446922025,-0.8070908469575984,0.08353241501180299
sparse,1,24,0.34526877120822413,-0.8174126911607658,0.07419617470033897
sparse,1,25,0.3520710905455827,-0.8274930565302767,0.06577824932313502
sparse,1,26,0.350979086078254,-0.8373650350650327,0.05820776878005955
sparse,1,27,0.3441129161636427,-0.847055787391074,0.05141612433979441
sparse,1,28,0.3417798550880337,-0.8565877844353368,0.045337535220025434
sparse,1,29,0.3473677514654557,-0.8659797576270805,0.039909454543359
sparse,1,30,0.35274054187972165,-0.8752474325632059,0.035072841412839
sparse,1,31,0.35035336455491756,-0.8844041003178853,0.030772322425559436
sparse,1,32,0.34407769016058143,-0.8934610659367521,0.026956262887784962
sparse,1,33,0.3432321271723221,-0.902428003234308,0.023576765263499815
sparse,1,34,0.3489907820344193,-0.9113132375270521,0.020589609945942108
sparse,1,35,0.35297340237570235,-0.9201239725094088,0.017954151261455168
sparse,1,36,0.34962900811875275,-0.9288664735135079,0.015633179674451467
sparse,1,37,0.3441350658008486,-0.937546216470402,0.013592759441746536
sparse,1,38,0.3445929108980407,-0.9461680097179452,0.011802049446007393
sparse,1,39,0.35026419254464836,-0.9547360941737739,0.01023311360473702
sparse,1,40,0.3529137051965099,-0.9632542261645091,0.008860726087081145
sparse,1,41,0.34891217040320466,-0.9717257462697388,0.007662175560504625
sparse,1,42,0.3443284522717237,-0.9801536368258474,0.00661707181842514
sparse,1,43,0.3458863326175029,-0.9885405701853054,0.005707157394292311
sparse,1,44,0.3512466690885292,-0.996888949401205,0.0049161261341779455
sparse,1,45,0.352647148387979,-1.0052009426748332,0.004229450166296359
sparse,1,46,0.34826056037828346,-1.0134785126436945,0.003634216260421649
sparse,1,47,0.3446641279090566,-1.021723441382096,0.0031189722021750985
sparse,1,48,0.34710869642348285,-1.029937351823604,0.002673583506742737
sparse,1,49,0.3519729412975243,-1.0381217261849782,0.002289100554729199
sparse,1,50,0.35223541127686747,-1.0462779218672913,0.0019576360413790044
sparse,1,0,0.461,-0.942,0.045
sparse,2,1,0.9677155411234153,-0.29044943820224717,0.3494028940438989
sparse,2,2,0.5328239067867462,-0.25493827160493826,0.45464102335529377
sparse,2,3,0.33512267967259923,-0.25493827160493826,0.471964674569807
sparse,2,4,0.261203627390181,-0.29044943820224717,0.4593767421588655
sparse,2,5,0.27627068957631834,-0.3475714285714286,0.4369965086215158
sparse,2,6,0.3097346110289362,-0.4193129844961241,0.4111346015850312
sparse,2,7,0.32332844526215077,-0.481677564393037,0.384104040644861
sparse,2,8,0.3254352318588729,-0.5335161776120649,0.35693147863383357
sparse,2,9,0.334465646141322,-0.5759650993822882,0.33017744036586966
sparse,2,10,0.3505434042991093,-0.6109190621769657,0.3041967788194993
sparse,2,11,0.35892625179287985,-0.6401505860200736,0.2792299238410088
sparse,2,12,0.3537268634830091,-0.6650734985639957,0.25544093262709944
sparse,2,13,0.3469418171556832,-0.6867495559055181,0.2329373935792118
sparse,2,14,0.3510822849822428,-0.7059589400658484,0.2117831774404175
sparse,2,15,0.3617151659796041,-0.7232725995921708,0.19200774494185727
sparse,2,16,0.36487658563889,-0.7391103022075148,0.17361342541435423
sparse,2,17,0.3576108158391514,-0.753783443426491,0.15658130401056328
sparse,2,18,0.3517564578371713,-0.767525582916356,0.14087606097646496
sparse,2,19,0.3564057270038118,-0.7805139851490155,0.1264499777015805
sparse,2,20,0.36508040493791133,-0.7928848089973537,0.11324625896854576
sparse,2,21,0.36572772678981175,-0.8047438753069386,0.10120178325311455
sparse,2,22,0.3582347190623072,-0.8161743627708133,0.09024936914981715
sparse,2,23,0.3540931329552291,-0.8272423621091135,0.08031962981904134
sparse,2,24,0.3594620747549397,-0.8380009264548834,0.07134247567340285
sparse,2,25,0.3665703782759372,-0.8484930565302767,0.06324831665686059
sparse,2,26,0.3654290723330955,-0.8587539239539216,0.05596900844236495
sparse,2,27,0.358253738442718,-0.8688125441478307,0.04943858109595616
sparse,2,28,0.3558154892910034,-0.8786930475932315,0.04359378386540907
sparse,2,29,0.3616546342994958,-0.8884156550629779,0.03837447552246057
sparse,2,30,0.3672689924246315,-0.897997432563206,0.03372388597388365
sparse,2,31,0.36477418665933636,-0.9074528808056902,0.029588771563037918
sparse,2,32,0.3582159062205714,-0.9167943992700854,0.02591948354594708
sparse,2,33,0.35733209849807224,-0.9260326543970987,0.022669966599519052
sparse,2,34,0.3633497056687045,-0.9351768738906885,0.01979770187109818
sparse,2,35,0.3675113645304543,-0.9442350836205199,0.01726360698216843
sparse,2,36,0.36401630113522904,-0.9532142996004644,0.01503190353312641
sparse,2,37,0.35827496804285786,-0.9621206845555084,0.013069961001679361
