step,test_mse,train_mse,recovery_slope
1,1.1480279302338543,0.9752145778779941,-0.050832701584912036
2,1.1465215369382054,0.9734132204312557,-0.05146877243104622
5,1.1426426988644336,0.9687002830448505,-0.05310660222139875
10,1.1370537194578287,0.9618109671303058,-0.055466534963036385
20,1.1272757350302909,0.9496159041871121,-0.0595952647219077
50,1.1025358048820346,0.9184108274935157,-0.0700416390838709
100,1.0679752310591435,0.8745753739334193,-0.08463475596636269
200,1.0104927099445786,0.8019327016513521,-0.10890660844265265
400,0.9191295288370394,0.6886233036455047,-0.14748448586711513
800,0.7850389678631092,0.5298938132808753,-0.20410389384220393
1600,0.6138158548556178,0.3459429394877708,-0.27640243014276206
3200,0.44204699937896275,0.1927762209259353,-0.34893140485215723
6400,0.32795345664415726,0.12030694395107405,-0.3971071212971135
