frequency,recovery,relative_residual,target_power,pred_power
1,0.7897102439550402,0.04422178149744871,211237.1791302969,131736.4337760631
2,0.6365408212003476,0.1321025746537177,113199.20144643873,45866.529809260035
3,0.5498527210753921,0.20263257272322877,78588.90361495843,23760.413110071666
4,0.49390313645602996,0.25613403528904377,60661.9500452965,14797.894790129589
5,0.46175339119440545,0.2897094118907228,49624.63841818476,10580.776546023291
6,0.4473548930356826,0.3054166142516019,42114.750672167516,8428.273452520141
7,0.4416437579229205,0.3117616930664383,36659.127404382954,7150.33379963935
8,0.43499232590147086,0.3192336717902297,32507.934122125545,6151.096798065851
9,0.4212962120411844,0.3348980741978818,29238.298848857343,5189.520231550568
10,0.40048636930440323,0.35941659338981646,26593.18527228472,4265.2632215373615
11,0.3777987548145232,0.38713438951035783,24407.142829405322,3483.6778486077133
12,0.3602103454853576,0.4093308020239655,22568.73607588083,2928.3272008484487
13,0.35212574652884104,0.4197410483108116,21000.0990036679,2603.8556444547535
14,0.35278985412222746,0.41888097292712767,19645.13995587732,2445.047500619564
15,0.3568383573310963,0.41365689860056265,18462.402980529732,2350.8844810239116
16,0.3575411282085448,0.4127534019435495,17420.570556986095,2226.970106170282
17,0.3507459814380719,0.4215307806188125,16495.532129974657,2029.325618038682
18,0.3371864150574098,0.43932184838444827,15668.416397955374,1781.4155649581926
19,0.3218470584785206,0.4598914120942351,14924.236357428816,1545.934918770556
20,0.3108470530192647,0.47493178433223227,14250.935129572874,1377.009295510943
21,0.3077500362095905,0.47921001236782323,13638.70054529773,1291.7224850297096
22,0.31149638189863005,0.4740372321386771,13079.463990444798,1269.1003378370954
23,0.3171379013118576,0.4663006458247743,12566.528104423049,1263.8967660709995
24,0.31886709380027095,0.46394203590808897,12094.286204557275,1229.7013473119155
25,0.31348531988629635,0.4713024060116208,11658.008065978658,1145.6679604206515
26,0.3022371157970784,0.4868730425711797,11253.674411383055,1027.9924818240406
27,0.2899556120399021,0.5041630328736301,10877.847638179503,914.5469574326111
28,0.2820868186955101,0.5153993358907334,10527.569836260358,837.7100333025405
29,0.28141194480202913,0.516368793073202,10200.281591309049,807.7876632792372
30,0.28643000966008264,0.5091821311137097,9893.756784591367,811.7050824776167
31,0.29233389743273336,0.500791312722745,9606.049822693387,820.9244452952777
32,0.29394679037786553,0.49851113481771775,9335.452612609399,806.6271277419247
